EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	TREATMENT_ACCESSION
ES851206	EXP13950	TRT1834
ES851212	EXP13950	TRT1834
ES851214	EXP13950	TRT1834
ES851217	EXP13950	TRT1834
ES851220	EXP13950	TRT1834
ES851230	EXP13950	TRT1834
ES851231	EXP13950	TRT1834
ES851232	EXP13950	TRT1834
ES851237	EXP13950	TRT1834
ES851248	EXP13950	TRT1834
ES851250	EXP13950	TRT1834
ES851251	EXP13950	TRT1834
ES851254	EXP13950	TRT1834
ES851257	EXP13950	TRT1834
ES851274	EXP13950	TRT1834
ES851284	EXP13950	TRT1834
ES851288	EXP13950	TRT1834
ES851294	EXP13950	TRT1834
ES851296	EXP13950	TRT1834
ES851299	EXP13950	TRT1834
ES851311	EXP13950	TRT1834
ES851316	EXP13950	TRT1834
ES851323	EXP13950	TRT1834
ES851324	EXP13950	TRT1834
ES833760	EXP13915	TRT1785
ES833767	EXP13915	TRT1785
ES833777	EXP13915	TRT1785
ES833779	EXP13915	TRT1785
ES833786	EXP13915	TRT1785
ES833795	EXP13915	TRT1785
ES833808	EXP13915	TRT1785
ES833815	EXP13915	TRT1785
ES833844	EXP13915	TRT1785
ES833846	EXP13915	TRT1785
ES833850	EXP13915	TRT1785
ES833869	EXP13915	TRT1785
ES833873	EXP13915	TRT1785
ES834766	EXP13921	TRT1783
ES834783	EXP13921	TRT1783
ES834787	EXP13921	TRT1783
ES834792	EXP13921	TRT1783
ES834802	EXP13921	TRT1783
ES834804	EXP13921	TRT1783
ES834806	EXP13921	TRT1783
ES834809	EXP13921	TRT1783
ES834817	EXP13921	TRT1783
ES834836	EXP13921	TRT1783
ES834839	EXP13921	TRT1783
ES834849	EXP13921	TRT1783
ES834854	EXP13921	TRT1783
ES834855	EXP13921	TRT1783
ES834867	EXP13921	TRT1783
ES834869	EXP13921	TRT1783
ES834888	EXP13921	TRT1783
ES834892	EXP13921	TRT1783
ES834896	EXP13921	TRT1783
ES834898	EXP13921	TRT1783
