EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	TREATMENT_ACCESSION
ES834748	EXP13921	TRT1783
ES834749	EXP13921	TRT1783
ES834754	EXP13921	TRT1783
ES850928	EXP13950	TRT1834
ES850960	EXP13950	TRT1834
ES850967	EXP13950	TRT1834
ES850971	EXP13950	TRT1834
ES850981	EXP13950	TRT1834
ES850992	EXP13950	TRT1834
ES851016	EXP13950	TRT1834
ES851018	EXP13950	TRT1834
ES851021	EXP13950	TRT1834
ES851026	EXP13950	TRT1834
ES851030	EXP13950	TRT1834
ES851039	EXP13950	TRT1834
ES851040	EXP13950	TRT1834
ES851041	EXP13950	TRT1834
ES851058	EXP13950	TRT1834
ES851060	EXP13950	TRT1834
ES851063	EXP13950	TRT1834
ES851066	EXP13950	TRT1834
ES851070	EXP13950	TRT1834
ES851077	EXP13950	TRT1834
ES851083	EXP13950	TRT1834
ES851087	EXP13950	TRT1834
ES851100	EXP13950	TRT1834
ES851109	EXP13950	TRT1834
ES851114	EXP13950	TRT1834
ES851120	EXP13950	TRT1834
ES851123	EXP13950	TRT1834
ES851128	EXP13950	TRT1834
ES851131	EXP13950	TRT1834
ES851148	EXP13950	TRT1834
ES851153	EXP13950	TRT1834
ES851157	EXP13950	TRT1834
ES851162	EXP13950	TRT1834
ES851167	EXP13950	TRT1834
ES851178	EXP13950	TRT1834
ES851180	EXP13950	TRT1834
ES851185	EXP13950	TRT1834
ES851188	EXP13950	TRT1834
ES851236	EXP13950	TRT1834
ES851241	EXP13950	TRT1834
ES851243	EXP13950	TRT1834
ES851259	EXP13950	TRT1834
ES851266	EXP13950	TRT1834
ES851268	EXP13950	TRT1834
ES851276	EXP13950	TRT1834
ES851282	EXP13950	TRT1834
ES851290	EXP13950	TRT1834
ES851292	EXP13950	TRT1834
ES851309	EXP13950	TRT1834
ES851317	EXP13950	TRT1834
ES851318	EXP13950	TRT1834
ES833748	EXP13915	TRT1785
ES833751	EXP13915	TRT1785
ES833754	EXP13915	TRT1785
ES833776	EXP13915	TRT1785
ES833780	EXP13915	TRT1785
ES833782	EXP13915	TRT1785
ES833791	EXP13915	TRT1785
ES833804	EXP13915	TRT1785
ES833822	EXP13915	TRT1785
ES833839	EXP13915	TRT1785
ES833842	EXP13915	TRT1785
ES833860	EXP13915	TRT1785
ES833862	EXP13915	TRT1785
ES834758	EXP13921	TRT1783
ES834761	EXP13921	TRT1783
ES834775	EXP13921	TRT1783
ES834779	EXP13921	TRT1783
ES834785	EXP13921	TRT1783
ES834797	EXP13921	TRT1783
ES834805	EXP13921	TRT1783
ES834823	EXP13921	TRT1783
ES834828	EXP13921	TRT1783
ES834830	EXP13921	TRT1783
ES834831	EXP13921	TRT1783
ES834840	EXP13921	TRT1783
ES834847	EXP13921	TRT1783
ES834861	EXP13921	TRT1783
ES834863	EXP13921	TRT1783
ES834882	EXP13921	TRT1783
ES834883	EXP13921	TRT1783
ES834890	EXP13921	TRT1783
ES834901	EXP13921	TRT1783
ES834902	EXP13921	TRT1783
ES834904	EXP13921	TRT1783
ES834909	EXP13921	TRT1783
ES834919	EXP13921	TRT1783
ES834928	EXP13921	TRT1783
ES834934	EXP13921	TRT1783
ES834936	EXP13921	TRT1783
ES834943	EXP13921	TRT1783
ES834945	EXP13921	TRT1783
ES834947	EXP13921	TRT1783
ES834953	EXP13921	TRT1783
ES834975	EXP13921	TRT1783
ES834985	EXP13921	TRT1783
ES834987	EXP13921	TRT1783
ES835005	EXP13921	TRT1783
ES835009	EXP13921	TRT1783
ES835016	EXP13921	TRT1783
ES835017	EXP13921	TRT1783
ES835023	EXP13921	TRT1783
ES835030	EXP13921	TRT1783
ES835038	EXP13921	TRT1783
ES835053	EXP13921	TRT1783
ES835055	EXP13921	TRT1783
ES835056	EXP13921	TRT1783
ES835076	EXP13921	TRT1783
