EXPSAMPLE_ACCESSION	DATA_FORMAT	DESCRIPTION	EXPERIMENT_ACCESSION	NAME	RESULT_SCHEMA	RESULT_TOTAL_RECS	WORKSPACE_ID
ES848226	Other		EXP13922		OTHER	0	2883
ES848228	Other		EXP13922		OTHER	0	2883
ES848230	Other		EXP13922		OTHER	0	2883
ES848235	Other		EXP13922		OTHER	0	2883
ES848239	Other		EXP13922		OTHER	0	2883
ES848245	Other		EXP13922		OTHER	0	2883
ES848250	Other		EXP13922		OTHER	0	2883
ES848267	Other		EXP13922		OTHER	0	2883
ES848270	Other		EXP13922		OTHER	0	2883
ES848272	Other		EXP13922		OTHER	0	2883
ES848273	Other		EXP13922		OTHER	0	2883
ES848286	Other		EXP13922		OTHER	0	2883
ES848288	Other		EXP13922		OTHER	0	2883
ES848295	Other		EXP13922		OTHER	0	2883
ES848298	Other		EXP13922		OTHER	0	2883
ES848308	Other		EXP13922		OTHER	0	2883
ES848309	Other		EXP13922		OTHER	0	2883
ES851165	Other		EXP13950		MBAA	55	2883
ES851189	Other		EXP13950		MBAA	55	2883
ES851200	Other		EXP13950		MBAA	55	2883
ES851206	Other		EXP13950		MBAA	55	2883
ES851218	Other		EXP13950		MBAA	55	2883
ES851222	Other		EXP13950		MBAA	55	2883
ES851241	Other		EXP13950		MBAA	55	2883
ES851247	Other		EXP13950		MBAA	55	2883
ES851258	Other		EXP13950		MBAA	55	2883
ES851267	Other		EXP13950		MBAA	55	2883
ES851272	Other		EXP13950		MBAA	55	2883
ES851275	Other		EXP13950		MBAA	55	2883
ES851282	Other		EXP13950		MBAA	55	2883
ES834625	Other		EXP13921		FCM	17	2883
ES834629	Other		EXP13921		FCM	13	2883
ES834638	Other		EXP13921		FCM	16	2883
ES834643	Other		EXP13921		FCM	13	2883
ES834655	Other		EXP13921		FCM	22	2883
ES834661	Other		EXP13921		FCM	18	2883
ES834667	Other		EXP13921		FCM	17	2883
ES834669	Other		EXP13921		FCM	22	2883
ES834671	Other		EXP13921		FCM	13	2883
ES834675	Other		EXP13921		FCM	18	2883
ES834685	Other		EXP13921		FCM	13	2883
ES834686	Other		EXP13921		FCM	16	2883
ES834706	Other		EXP13921		FCM	13	2883
ES834710	Other		EXP13921		FCM	18	2883
ES834712	Other		EXP13921		FCM	14	2883
ES834713	Other		EXP13921		FCM	13	2883
ES834729	Other		EXP13921		FCM	16	2883
ES834730	Other		EXP13921		FCM	17	2883
ES834739	Other		EXP13921		FCM	22	2883
ES848313	Other		EXP13922		OTHER	0	2883
ES848320	Other		EXP13922		OTHER	0	2883
ES848321	Other		EXP13922		OTHER	0	2883
ES848322	Other		EXP13922		OTHER	0	2883
ES848327	Other		EXP13922		OTHER	0	2883
ES848337	Other		EXP13922		OTHER	0	2883
ES848342	Other		EXP13922		OTHER	0	2883
ES848344	Other		EXP13922		OTHER	0	2883
ES848368	Other		EXP13922		OTHER	0	2883
ES848371	Other		EXP13922		OTHER	0	2883
ES848373	Other		EXP13922		OTHER	0	2883
ES848377	Other		EXP13922		OTHER	0	2883
ES848378	Other		EXP13922		OTHER	0	2883
ES848380	Other		EXP13922		OTHER	0	2883
ES848396	Other		EXP13922		OTHER	0	2883
ES848410	Other		EXP13922		OTHER	0	2883
ES848415	Other		EXP13922		OTHER	0	2883
ES848430	Other		EXP13922		OTHER	0	2883
ES848432	Other		EXP13922		OTHER	0	2883
ES848439	Other		EXP13922		OTHER	0	2883
ES848446	Other		EXP13922		OTHER	0	2883
ES848456	Other		EXP13922		OTHER	0	2883
ES848458	Other		EXP13922		OTHER	0	2883
ES834759	Other		EXP13921		FCM	18	2883
ES834761	Other		EXP13921		FCM	14	2883
ES834773	Other		EXP13921		FCM	18	2883
ES834777	Other		EXP13921		FCM	16	2883
ES834778	Other		EXP13921		FCM	16	2883
ES834779	Other		EXP13921		FCM	17	2883
ES834786	Other		EXP13921		FCM	17	2883
ES834795	Other		EXP13921		FCM	22	2883
ES834799	Other		EXP13921		FCM	16	2883
ES834802	Other		EXP13921		FCM	22	2883
ES834804	Other		EXP13921		FCM	13	2883
ES834805	Other		EXP13921		FCM	16	2883
ES834818	Other		EXP13921		FCM	13	2883
ES834825	Other		EXP13921		FCM	13	2883
ES834826	Other		EXP13921		FCM	16	2883
ES834841	Other		EXP13921		FCM	16	2883
ES834845	Other		EXP13921		FCM	14	2883
ES834847	Other		EXP13921		FCM	16	2883
ES834849	Other		EXP13921		FCM	17	2883
ES834861	Other		EXP13921		FCM	16	2883
ES834872	Other		EXP13921		FCM	22	2883
ES834884	Other		EXP13921		FCM	17	2883
ES834910	Other		EXP13921		FCM	16	2883
ES834920	Other		EXP13921		FCM	18	2883
ES834931	Other		EXP13921		FCM	16	2883
ES834937	Other		EXP13921		FCM	13	2883
ES834939	Other		EXP13921		FCM	16	2883
ES834963	Other		EXP13921		FCM	22	2883
ES834968	Other		EXP13921		FCM	17	2883
ES834977	Other		EXP13921		FCM	22	2883
ES850806	Other		EXP13950		MBAA	55	2883
ES850810	Other		EXP13950		MBAA	55	2883
ES850811	Other		EXP13950		MBAA	55	2883
ES850823	Other		EXP13950		MBAA	55	2883
ES850835	Other		EXP13950		MBAA	55	2883
ES850836	Other		EXP13950		MBAA	55	2883
ES850842	Other		EXP13950		MBAA	55	2883
ES850852	Other		EXP13950		MBAA	55	2883
ES850863	Other		EXP13950		MBAA	55	2883
ES850871	Other		EXP13950		MBAA	55	2883
ES850874	Other		EXP13950		MBAA	55	2883
ES850877	Other		EXP13950		MBAA	55	2883
ES850885	Other		EXP13950		MBAA	55	2883
ES850889	Other		EXP13950		MBAA	55	2883
ES850890	Other		EXP13950		MBAA	55	2883
ES850893	Other		EXP13950		MBAA	55	2883
ES850913	Other		EXP13950		MBAA	55	2883
ES834987	Other		EXP13921		FCM	16	2883
ES834993	Other		EXP13921		FCM	13	2883
ES834994	Other		EXP13921		FCM	16	2883
ES835002	Other		EXP13921		FCM	16	2883
ES835009	Other		EXP13921		FCM	16	2883
ES835020	Other		EXP13921		FCM	14	2883
ES835023	Other		EXP13921		FCM	16	2883
ES835045	Other		EXP13921		FCM	17	2883
ES835061	Other		EXP13921		FCM	22	2883
ES835066	Other		EXP13921		FCM	17	2883
ES835067	Other		EXP13921		FCM	18	2883
ES850922	Other		EXP13950		MBAA	55	2883
ES850927	Other		EXP13950		MBAA	55	2883
ES850931	Other		EXP13950		MBAA	55	2883
ES850933	Other		EXP13950		MBAA	55	2883
ES850937	Other		EXP13950		MBAA	55	2883
ES850940	Other		EXP13950		MBAA	55	2883
ES850946	Other		EXP13950		MBAA	55	2883
ES850952	Other		EXP13950		MBAA	55	2883
ES850984	Other		EXP13950		MBAA	55	2883
ES850995	Other		EXP13950		MBAA	55	2883
ES851007	Other		EXP13950		MBAA	55	2883
ES851019	Other		EXP13950		MBAA	55	2883
ES851020	Other		EXP13950		MBAA	55	2883
ES851035	Other		EXP13950		MBAA	55	2883
ES847996	Other		EXP13922		OTHER	0	2883
ES848003	Other		EXP13922		OTHER	0	2883
ES848005	Other		EXP13922		OTHER	0	2883
ES848020	Other		EXP13922		OTHER	0	2883
ES848042	Other		EXP13922		OTHER	0	2883
ES848043	Other		EXP13922		OTHER	0	2883
ES848044	Other		EXP13922		OTHER	0	2883
ES848050	Other		EXP13922		OTHER	0	2883
ES848051	Other		EXP13922		OTHER	0	2883
ES848052	Other		EXP13922		OTHER	0	2883
ES848058	Other		EXP13922		OTHER	0	2883
ES848064	Other		EXP13922		OTHER	0	2883
ES848066	Other		EXP13922		OTHER	0	2883
ES848068	Other		EXP13922		OTHER	0	2883
ES833835	Other		EXP13915		HAI	3	2883
ES833837	Other		EXP13915		HAI	3	2883
ES833840	Other		EXP13915		HAI	6	2883
ES833845	Other		EXP13915		HAI	3	2883
ES833856	Other		EXP13915		HAI	6	2883
ES833863	Other		EXP13915		HAI	3	2883
ES833867	Other		EXP13915		HAI	3	2883
ES833869	Other		EXP13915		HAI	3	2883
ES833883	Other		EXP13915		HAI	3	2883
ES833888	Other		EXP13915		HAI	6	2883
ES834586	Other		EXP13921		FCM	14	2883
ES834602	Other		EXP13921		FCM	16	2883
ES834607	Other		EXP13921		FCM	14	2883
ES850723	Other		EXP13950		MBAA	55	2883
ES850734	Other		EXP13950		MBAA	55	2883
ES850748	Other		EXP13950		MBAA	55	2883
ES850751	Other		EXP13950		MBAA	55	2883
ES850754	Other		EXP13950		MBAA	55	2883
ES850760	Other		EXP13950		MBAA	55	2883
ES850765	Other		EXP13950		MBAA	55	2883
ES850769	Other		EXP13950		MBAA	55	2883
ES850774	Other		EXP13950		MBAA	55	2883
ES850797	Other		EXP13950		MBAA	55	2883
ES851302	Other		EXP13950		MBAA	55	2883
ES851306	Other		EXP13950		MBAA	55	2883
ES851309	Other		EXP13950		MBAA	55	2883
ES851318	Other		EXP13950		MBAA	55	2883
ES851327	Other		EXP13950		MBAA	55	2883
ES851330	Other		EXP13950		MBAA	55	2883
ES833768	Other		EXP13915		HAI	6	2883
ES833777	Other		EXP13915		HAI	3	2883
ES833779	Other		EXP13915		HAI	3	2883
ES833783	Other		EXP13915		HAI	3	2883
ES833801	Other		EXP13915		HAI	3	2883
ES848071	Other		EXP13922		OTHER	0	2883
ES848077	Other		EXP13922		OTHER	0	2883
ES848090	Other		EXP13922		OTHER	0	2883
ES848115	Other		EXP13922		OTHER	0	2883
ES848119	Other		EXP13922		OTHER	0	2883
ES848126	Other		EXP13922		OTHER	0	2883
ES848129	Other		EXP13922		OTHER	0	2883
ES848131	Other		EXP13922		OTHER	0	2883
ES848143	Other		EXP13922		OTHER	0	2883
ES848155	Other		EXP13922		OTHER	0	2883
ES848157	Other		EXP13922		OTHER	0	2883
ES848162	Other		EXP13922		OTHER	0	2883
ES848187	Other		EXP13922		OTHER	0	2883
ES851042	Other		EXP13950		MBAA	55	2883
ES851045	Other		EXP13950		MBAA	55	2883
ES851071	Other		EXP13950		MBAA	55	2883
ES851078	Other		EXP13950		MBAA	55	2883
ES851080	Other		EXP13950		MBAA	55	2883
ES851092	Other		EXP13950		MBAA	55	2883
ES851094	Other		EXP13950		MBAA	55	2883
ES851119	Other		EXP13950		MBAA	55	2883
ES851135	Other		EXP13950		MBAA	55	2883
ES851139	Other		EXP13950		MBAA	55	2883
ES851153	Other		EXP13950		MBAA	55	2883
ES848190	Other		EXP13922		OTHER	0	2883
ES848198	Other		EXP13922		OTHER	0	2883
ES848205	Other		EXP13922		OTHER	0	2883
ES848211	Other		EXP13922		OTHER	0	2883
ES848225	Other		EXP13922		OTHER	0	2883
ES848243	Other		EXP13922		OTHER	0	2883
ES848251	Other		EXP13922		OTHER	0	2883
ES848263	Other		EXP13922		OTHER	0	2883
ES848285	Other		EXP13922		OTHER	0	2883
ES848292	Other		EXP13922		OTHER	0	2883
ES848297	Other		EXP13922		OTHER	0	2883
ES848301	Other		EXP13922		OTHER	0	2883
ES851163	Other		EXP13950		MBAA	55	2883
ES851164	Other		EXP13950		MBAA	55	2883
ES851167	Other		EXP13950		MBAA	55	2883
ES851169	Other		EXP13950		MBAA	55	2883
ES851179	Other		EXP13950		MBAA	55	2883
ES851185	Other		EXP13950		MBAA	55	2883
ES851187	Other		EXP13950		MBAA	55	2883
ES851201	Other		EXP13950		MBAA	55	2883
ES851214	Other		EXP13950		MBAA	55	2883
ES851236	Other		EXP13950		MBAA	55	2883
ES851254	Other		EXP13950		MBAA	55	2883
ES851255	Other		EXP13950		MBAA	55	2883
ES851277	Other		EXP13950		MBAA	55	2883
ES851289	Other		EXP13950		MBAA	55	2883
ES834626	Other		EXP13921		FCM	18	2883
ES834631	Other		EXP13921		FCM	16	2883
ES834634	Other		EXP13921		FCM	22	2883
ES834666	Other		EXP13921		FCM	16	2883
ES834676	Other		EXP13921		FCM	22	2883
ES834683	Other		EXP13921		FCM	22	2883
ES834689	Other		EXP13921		FCM	18	2883
ES834690	Other		EXP13921		FCM	22	2883
ES834695	Other		EXP13921		FCM	17	2883
ES834702	Other		EXP13921		FCM	17	2883
ES834703	Other		EXP13921		FCM	18	2883
ES834720	Other		EXP13921		FCM	13	2883
ES834723	Other		EXP13921		FCM	17	2883
ES834738	Other		EXP13921		FCM	18	2883
ES848310	Other		EXP13922		OTHER	0	2883
ES848326	Other		EXP13922		OTHER	0	2883
ES848334	Other		EXP13922		OTHER	0	2883
ES848356	Other		EXP13922		OTHER	0	2883
ES848365	Other		EXP13922		OTHER	0	2883
ES848366	Other		EXP13922		OTHER	0	2883
ES848388	Other		EXP13922		OTHER	0	2883
ES848390	Other		EXP13922		OTHER	0	2883
ES848391	Other		EXP13922		OTHER	0	2883
ES848394	Other		EXP13922		OTHER	0	2883
ES848395	Other		EXP13922		OTHER	0	2883
ES848414	Other		EXP13922		OTHER	0	2883
ES848416	Other		EXP13922		OTHER	0	2883
ES848417	Other		EXP13922		OTHER	0	2883
ES848449	Other		EXP13922		OTHER	0	2883
ES848453	Other		EXP13922		OTHER	0	2883
ES834740	Other		EXP13921		FCM	14	2883
ES834744	Other		EXP13921		FCM	17	2883
ES834756	Other		EXP13921		FCM	16	2883
ES834788	Other		EXP13921		FCM	22	2883
ES834809	Other		EXP13921		FCM	22	2883
ES834827	Other		EXP13921		FCM	16	2883
ES834834	Other		EXP13921		FCM	16	2883
ES834848	Other		EXP13921		FCM	16	2883
ES834851	Other		EXP13921		FCM	22	2883
ES834877	Other		EXP13921		FCM	17	2883
ES834880	Other		EXP13921		FCM	14	2883
ES834895	Other		EXP13921		FCM	13	2883
ES834897	Other		EXP13921		FCM	16	2883
ES834905	Other		EXP13921		FCM	17	2883
ES834912	Other		EXP13921		FCM	17	2883
ES834914	Other		EXP13921		FCM	22	2883
ES834923	Other		EXP13921		FCM	13	2883
ES834925	Other		EXP13921		FCM	16	2883
ES834926	Other		EXP13921		FCM	17	2883
ES834932	Other		EXP13921		FCM	16	2883
ES834933	Other		EXP13921		FCM	17	2883
ES834946	Other		EXP13921		FCM	16	2883
ES834956	Other		EXP13921		FCM	22	2883
ES834958	Other		EXP13921		FCM	13	2883
ES834964	Other		EXP13921		FCM	14	2883
ES850805	Other		EXP13950		MBAA	55	2883
ES850813	Other		EXP13950		MBAA	55	2883
ES850816	Other		EXP13950		MBAA	55	2883
ES850817	Other		EXP13950		MBAA	55	2883
ES850832	Other		EXP13950		MBAA	55	2883
ES850844	Other		EXP13950		MBAA	55	2883
ES850853	Other		EXP13950		MBAA	55	2883
ES850861	Other		EXP13950		MBAA	55	2883
ES850875	Other		EXP13950		MBAA	55	2883
ES850876	Other		EXP13950		MBAA	55	2883
ES850882	Other		EXP13950		MBAA	55	2883
ES850883	Other		EXP13950		MBAA	55	2883
ES850904	Other		EXP13950		MBAA	55	2883
ES850910	Other		EXP13950		MBAA	55	2883
ES850918	Other		EXP13950		MBAA	55	2883
ES834982	Other		EXP13921		FCM	17	2883
ES834997	Other		EXP13921		FCM	18	2883
ES835018	Other		EXP13921		FCM	18	2883
ES835019	Other		EXP13921		FCM	22	2883
ES835035	Other		EXP13921		FCM	13	2883
ES835059	Other		EXP13921		FCM	17	2883
ES835063	Other		EXP13921		FCM	13	2883
ES835074	Other		EXP13921		FCM	18	2883
ES835078	Other		EXP13921		FCM	16	2883
ES850925	Other		EXP13950		MBAA	55	2883
ES850954	Other		EXP13950		MBAA	55	2883
ES850958	Other		EXP13950		MBAA	55	2883
ES850962	Other		EXP13950		MBAA	55	2883
ES850968	Other		EXP13950		MBAA	55	2883
ES850975	Other		EXP13950		MBAA	55	2883
ES850982	Other		EXP13950		MBAA	55	2883
ES850998	Other		EXP13950		MBAA	55	2883
ES851005	Other		EXP13950		MBAA	55	2883
ES851012	Other		EXP13950		MBAA	55	2883
ES851014	Other		EXP13950		MBAA	55	2883
ES851015	Other		EXP13950		MBAA	55	2883
ES851027	Other		EXP13950		MBAA	55	2883
ES847983	Other		EXP13922		OTHER	0	2883
ES847997	Other		EXP13922		OTHER	0	2883
ES848015	Other		EXP13922		OTHER	0	2883
ES848019	Other		EXP13922		OTHER	0	2883
ES848032	Other		EXP13922		OTHER	0	2883
ES848035	Other		EXP13922		OTHER	0	2883
ES848045	Other		EXP13922		OTHER	0	2883
ES848062	Other		EXP13922		OTHER	0	2883
ES833831	Other		EXP13915		HAI	3	2883
ES833858	Other		EXP13915		HAI	6	2883
ES833881	Other		EXP13915		HAI	3	2883
ES833892	Other		EXP13915		HAI	5	2883
ES834585	Other		EXP13921		FCM	22	2883
ES834593	Other		EXP13921		FCM	14	2883
ES834596	Other		EXP13921		FCM	16	2883
ES834603	Other		EXP13921		FCM	16	2883
ES834611	Other		EXP13921		FCM	17	2883
ES834613	Other		EXP13921		FCM	22	2883
ES834617	Other		EXP13921		FCM	16	2883
ES850724	Other		EXP13950		MBAA	55	2883
ES850731	Other		EXP13950		MBAA	55	2883
ES850733	Other		EXP13950		MBAA	55	2883
ES850746	Other		EXP13950		MBAA	55	2883
ES850753	Other		EXP13950		MBAA	55	2883
ES850764	Other		EXP13950		MBAA	55	2883
ES850766	Other		EXP13950		MBAA	55	2883
ES850773	Other		EXP13950		MBAA	55	2883
ES850775	Other		EXP13950		MBAA	55	2883
ES850782	Other		EXP13950		MBAA	55	2883
ES850783	Other		EXP13950		MBAA	55	2883
ES850799	Other		EXP13950		MBAA	55	2883
ES851292	Other		EXP13950		MBAA	55	2883
ES851293	Other		EXP13950		MBAA	55	2883
ES851297	Other		EXP13950		MBAA	55	2883
ES851298	Other		EXP13950		MBAA	55	2883
ES851300	Other		EXP13950		MBAA	55	2883
ES851307	Other		EXP13950		MBAA	55	2883
ES851312	Other		EXP13950		MBAA	55	2883
ES851316	Other		EXP13950		MBAA	55	2883
ES851320	Other		EXP13950		MBAA	55	2883
ES851324	Other		EXP13950		MBAA	55	2883
ES851325	Other		EXP13950		MBAA	55	2883
ES851329	Other		EXP13950		MBAA	55	2883
ES851331	Other		EXP13950		MBAA	55	2883
ES833746	Other		EXP13915		HAI	6	2883
ES833747	Other		EXP13915		HAI	3	2883
ES833780	Other		EXP13915		HAI	6	2883
ES833782	Other		EXP13915		HAI	6	2883
ES833792	Other		EXP13915		HAI	6	2883
ES833796	Other		EXP13915		HAI	6	2883
ES833797	Other		EXP13915		HAI	3	2883
ES833803	Other		EXP13915		HAI	3	2883
ES833804	Other		EXP13915		HAI	6	2883
ES833813	Other		EXP13915		HAI	3	2883
ES833820	Other		EXP13915		HAI	6	2883
ES833824	Other		EXP13915		HAI	6	2883
ES848073	Other		EXP13922		OTHER	0	2883
ES848079	Other		EXP13922		OTHER	0	2883
ES848081	Other		EXP13922		OTHER	0	2883
ES848092	Other		EXP13922		OTHER	0	2883
ES848093	Other		EXP13922		OTHER	0	2883
ES848094	Other		EXP13922		OTHER	0	2883
ES848099	Other		EXP13922		OTHER	0	2883
ES848100	Other		EXP13922		OTHER	0	2883
ES848101	Other		EXP13922		OTHER	0	2883
ES848104	Other		EXP13922		OTHER	0	2883
ES848117	Other		EXP13922		OTHER	0	2883
ES848127	Other		EXP13922		OTHER	0	2883
ES848146	Other		EXP13922		OTHER	0	2883
ES848149	Other		EXP13922		OTHER	0	2883
ES848165	Other		EXP13922		OTHER	0	2883
ES848171	Other		EXP13922		OTHER	0	2883
ES851048	Other		EXP13950		MBAA	55	2883
ES851053	Other		EXP13950		MBAA	55	2883
ES851073	Other		EXP13950		MBAA	55	2883
ES851089	Other		EXP13950		MBAA	55	2883
ES851095	Other		EXP13950		MBAA	55	2883
ES851134	Other		EXP13950		MBAA	55	2883
ES851138	Other		EXP13950		MBAA	55	2883
ES851149	Other		EXP13950		MBAA	55	2883
ES851154	Other		EXP13950		MBAA	55	2883
ES848197	Other		EXP13922		OTHER	0	2883
ES848212	Other		EXP13922		OTHER	0	2883
ES848213	Other		EXP13922		OTHER	0	2883
ES848232	Other		EXP13922		OTHER	0	2883
ES848236	Other		EXP13922		OTHER	0	2883
ES848238	Other		EXP13922		OTHER	0	2883
ES848240	Other		EXP13922		OTHER	0	2883
ES848246	Other		EXP13922		OTHER	0	2883
ES848261	Other		EXP13922		OTHER	0	2883
ES848276	Other		EXP13922		OTHER	0	2883
ES848277	Other		EXP13922		OTHER	0	2883
ES848283	Other		EXP13922		OTHER	0	2883
ES848287	Other		EXP13922		OTHER	0	2883
ES848289	Other		EXP13922		OTHER	0	2883
ES848294	Other		EXP13922		OTHER	0	2883
ES848296	Other		EXP13922		OTHER	0	2883
ES851160	Other		EXP13950		MBAA	55	2883
ES851174	Other		EXP13950		MBAA	55	2883
ES851194	Other		EXP13950		MBAA	55	2883
ES851203	Other		EXP13950		MBAA	55	2883
ES851209	Other		EXP13950		MBAA	55	2883
ES851216	Other		EXP13950		MBAA	55	2883
ES851219	Other		EXP13950		MBAA	55	2883
ES851226	Other		EXP13950		MBAA	55	2883
ES851249	Other		EXP13950		MBAA	55	2883
ES851260	Other		EXP13950		MBAA	55	2883
ES851283	Other		EXP13950		MBAA	55	2883
ES851284	Other		EXP13950		MBAA	55	2883
ES851285	Other		EXP13950		MBAA	55	2883
ES834621	Other		EXP13921		FCM	14	2883
ES834630	Other		EXP13921		FCM	16	2883
ES834632	Other		EXP13921		FCM	17	2883
ES834633	Other		EXP13921		FCM	18	2883
ES834636	Other		EXP13921		FCM	13	2883
ES834642	Other		EXP13921		FCM	14	2883
ES834651	Other		EXP13921		FCM	16	2883
ES834658	Other		EXP13921		FCM	16	2883
ES834660	Other		EXP13921		FCM	17	2883
ES834663	Other		EXP13921		FCM	14	2883
ES834668	Other		EXP13921		FCM	18	2883
ES834670	Other		EXP13921		FCM	14	2883
ES834672	Other		EXP13921		FCM	16	2883
ES834674	Other		EXP13921		FCM	17	2883
ES834677	Other		EXP13921		FCM	14	2883
ES834680	Other		EXP13921		FCM	16	2883
ES834688	Other		EXP13921		FCM	17	2883
ES834692	Other		EXP13921		FCM	13	2883
ES834693	Other		EXP13921		FCM	16	2883
ES834707	Other		EXP13921		FCM	16	2883
ES834709	Other		EXP13921		FCM	17	2883
ES848314	Other		EXP13922		OTHER	0	2883
ES848316	Other		EXP13922		OTHER	0	2883
ES848319	Other		EXP13922		OTHER	0	2883
ES848328	Other		EXP13922		OTHER	0	2883
ES848332	Other		EXP13922		OTHER	0	2883
ES848339	Other		EXP13922		OTHER	0	2883
ES848351	Other		EXP13922		OTHER	0	2883
ES848355	Other		EXP13922		OTHER	0	2883
ES848381	Other		EXP13922		OTHER	0	2883
ES848384	Other		EXP13922		OTHER	0	2883
ES848387	Other		EXP13922		OTHER	0	2883
ES848398	Other		EXP13922		OTHER	0	2883
ES848403	Other		EXP13922		OTHER	0	2883
ES848406	Other		EXP13922		OTHER	0	2883
ES848424	Other		EXP13922		OTHER	0	2883
ES848426	Other		EXP13922		OTHER	0	2883
ES848438	Other		EXP13922		OTHER	0	2883
ES848448	Other		EXP13922		OTHER	0	2883
ES848454	Other		EXP13922		OTHER	0	2883
ES834751	Other		EXP13921		FCM	17	2883
ES834753	Other		EXP13921		FCM	22	2883
ES834757	Other		EXP13921		FCM	16	2883
ES834766	Other		EXP13921		FCM	18	2883
ES834774	Other		EXP13921		FCM	22	2883
ES834781	Other		EXP13921		FCM	22	2883
ES834790	Other		EXP13921		FCM	13	2883
ES834811	Other		EXP13921		FCM	13	2883
ES834814	Other		EXP13921		FCM	17	2883
ES834830	Other		EXP13921		FCM	22	2883
ES834833	Other		EXP13921		FCM	16	2883
ES834853	Other		EXP13921		FCM	13	2883
ES834857	Other		EXP13921		FCM	18	2883
ES834860	Other		EXP13921		FCM	13	2883
ES834863	Other		EXP13921		FCM	17	2883
ES834869	Other		EXP13921		FCM	16	2883
ES834873	Other		EXP13921		FCM	14	2883
ES834883	Other		EXP13921		FCM	16	2883
ES834894	Other		EXP13921		FCM	14	2883
ES834929	Other		EXP13921		FCM	14	2883
ES834935	Other		EXP13921		FCM	22	2883
ES834938	Other		EXP13921		FCM	16	2883
ES834940	Other		EXP13921		FCM	17	2883
ES834942	Other		EXP13921		FCM	22	2883
ES834943	Other		EXP13921		FCM	14	2883
ES834950	Other		EXP13921		FCM	14	2883
ES834953	Other		EXP13921		FCM	16	2883
ES834957	Other		EXP13921		FCM	14	2883
ES834969	Other		EXP13921		FCM	18	2883
ES834971	Other		EXP13921		FCM	14	2883
ES850800	Other		EXP13950		MBAA	55	2883
ES850818	Other		EXP13950		MBAA	55	2883
ES850820	Other		EXP13950		MBAA	55	2883
ES850826	Other		EXP13950		MBAA	55	2883
ES850840	Other		EXP13950		MBAA	55	2883
ES850845	Other		EXP13950		MBAA	55	2883
ES850851	Other		EXP13950		MBAA	55	2883
ES850854	Other		EXP13950		MBAA	55	2883
ES850858	Other		EXP13950		MBAA	55	2883
ES850867	Other		EXP13950		MBAA	55	2883
ES850887	Other		EXP13950		MBAA	55	2883
ES850898	Other		EXP13950		MBAA	55	2883
ES850914	Other		EXP13950		MBAA	55	2883
ES834984	Other		EXP13921		FCM	22	2883
ES834986	Other		EXP13921		FCM	13	2883
ES834990	Other		EXP13921		FCM	18	2883
ES834991	Other		EXP13921		FCM	22	2883
ES835001	Other		EXP13921		FCM	16	2883
ES835004	Other		EXP13921		FCM	18	2883
ES835007	Other		EXP13921		FCM	13	2883
ES835030	Other		EXP13921		FCM	16	2883
ES835039	Other		EXP13921		FCM	18	2883
ES835040	Other		EXP13921		FCM	22	2883
ES835042	Other		EXP13921		FCM	13	2883
ES835053	Other		EXP13921		FCM	18	2883
ES835058	Other		EXP13921		FCM	16	2883
ES835064	Other		EXP13921		FCM	16	2883
ES850955	Other		EXP13950		MBAA	55	2883
ES850957	Other		EXP13950		MBAA	55	2883
ES850959	Other		EXP13950		MBAA	55	2883
ES850961	Other		EXP13950		MBAA	55	2883
ES850970	Other		EXP13950		MBAA	55	2883
ES850974	Other		EXP13950		MBAA	55	2883
ES850976	Other		EXP13950		MBAA	55	2883
ES850977	Other		EXP13950		MBAA	55	2883
ES850978	Other		EXP13950		MBAA	55	2883
ES850983	Other		EXP13950		MBAA	55	2883
ES850985	Other		EXP13950		MBAA	55	2883
ES850990	Other		EXP13950		MBAA	55	2883
ES850992	Other		EXP13950		MBAA	55	2883
ES850993	Other		EXP13950		MBAA	55	2883
ES851002	Other		EXP13950		MBAA	55	2883
ES851008	Other		EXP13950		MBAA	55	2883
ES851022	Other		EXP13950		MBAA	55	2883
ES851025	Other		EXP13950		MBAA	55	2883
ES851039	Other		EXP13950		MBAA	55	2883
ES847982	Other		EXP13922		OTHER	0	2883
ES847986	Other		EXP13922		OTHER	0	2883
ES847995	Other		EXP13922		OTHER	0	2883
ES848006	Other		EXP13922		OTHER	0	2883
ES848013	Other		EXP13922		OTHER	0	2883
ES848028	Other		EXP13922		OTHER	0	2883
ES848049	Other		EXP13922		OTHER	0	2883
ES848060	Other		EXP13922		OTHER	0	2883
ES848063	Other		EXP13922		OTHER	0	2883
ES848067	Other		EXP13922		OTHER	0	2883
ES833830	Other		EXP13915		HAI	6	2883
ES833839	Other		EXP13915		HAI	3	2883
ES833841	Other		EXP13915		HAI	3	2883
ES833850	Other		EXP13915		HAI	6	2883
ES833854	Other		EXP13915		HAI	6	2883
ES833870	Other		EXP13915		HAI	6	2883
ES833875	Other		EXP13915		HAI	3	2883
ES833884	Other		EXP13915		HAI	6	2883
ES833887	Other		EXP13915		HAI	3	2883
ES834576	Other		EXP13921		FCM	17	2883
ES834590	Other		EXP13921		FCM	17	2883
ES834600	Other		EXP13921		FCM	14	2883
ES834618	Other		EXP13921		FCM	17	2883
ES850726	Other		EXP13950		MBAA	55	2883
ES850728	Other		EXP13950		MBAA	55	2883
ES850741	Other		EXP13950		MBAA	55	2883
ES850749	Other		EXP13950		MBAA	55	2883
ES850761	Other		EXP13950		MBAA	55	2883
