EXPSAMPLE_ACCESSION	DATA_FORMAT	DESCRIPTION	EXPERIMENT_ACCESSION	NAME	RESULT_SCHEMA	RESULT_TOTAL_RECS	WORKSPACE_ID
ES850732	Other		EXP13950		MBAA	55	2883
ES850735	Other		EXP13950		MBAA	55	2883
ES850744	Other		EXP13950		MBAA	55	2883
ES850758	Other		EXP13950		MBAA	55	2883
ES850776	Other		EXP13950		MBAA	55	2883
ES850785	Other		EXP13950		MBAA	55	2883
ES850786	Other		EXP13950		MBAA	55	2883
ES851290	Other		EXP13950		MBAA	55	2883
ES851295	Other		EXP13950		MBAA	55	2883
ES851303	Other		EXP13950		MBAA	55	2883
ES851322	Other		EXP13950		MBAA	55	2883
ES833748	Other		EXP13915		HAI	6	2883
ES833753	Other		EXP13915		HAI	3	2883
ES833754	Other		EXP13915		HAI	6	2883
ES833765	Other		EXP13915		HAI	3	2883
ES833806	Other		EXP13915		HAI	6	2883
ES833809	Other		EXP13915		HAI	3	2883
ES833812	Other		EXP13915		HAI	6	2883
ES833821	Other		EXP13915		HAI	3	2883
ES848070	Other		EXP13922		OTHER	0	2883
ES848072	Other		EXP13922		OTHER	0	2883
ES848082	Other		EXP13922		OTHER	0	2883
ES848083	Other		EXP13922		OTHER	0	2883
ES848091	Other		EXP13922		OTHER	0	2883
ES848096	Other		EXP13922		OTHER	0	2883
ES848112	Other		EXP13922		OTHER	0	2883
ES848130	Other		EXP13922		OTHER	0	2883
ES848137	Other		EXP13922		OTHER	0	2883
ES848159	Other		EXP13922		OTHER	0	2883
ES848163	Other		EXP13922		OTHER	0	2883
ES848180	Other		EXP13922		OTHER	0	2883
ES851043	Other		EXP13950		MBAA	55	2883
ES851044	Other		EXP13950		MBAA	55	2883
ES851047	Other		EXP13950		MBAA	55	2883
ES851056	Other		EXP13950		MBAA	55	2883
ES851057	Other		EXP13950		MBAA	55	2883
ES851061	Other		EXP13950		MBAA	55	2883
ES851077	Other		EXP13950		MBAA	55	2883
ES851082	Other		EXP13950		MBAA	55	2883
ES851084	Other		EXP13950		MBAA	55	2883
ES851100	Other		EXP13950		MBAA	55	2883
ES851125	Other		EXP13950		MBAA	55	2883
ES851128	Other		EXP13950		MBAA	55	2883
ES851131	Other		EXP13950		MBAA	55	2883
ES851151	Other		EXP13950		MBAA	55	2883
ES851156	Other		EXP13950		MBAA	55	2883
ES848229	Other		EXP13922		OTHER	0	2883
ES848231	Other		EXP13922		OTHER	0	2883
ES848237	Other		EXP13922		OTHER	0	2883
ES848244	Other		EXP13922		OTHER	0	2883
ES848256	Other		EXP13922		OTHER	0	2883
ES848257	Other		EXP13922		OTHER	0	2883
ES848271	Other		EXP13922		OTHER	0	2883
ES848282	Other		EXP13922		OTHER	0	2883
ES848300	Other		EXP13922		OTHER	0	2883
ES848304	Other		EXP13922		OTHER	0	2883
ES851196	Other		EXP13950		MBAA	55	2883
ES851205	Other		EXP13950		MBAA	55	2883
ES851208	Other		EXP13950		MBAA	55	2883
ES851212	Other		EXP13950		MBAA	55	2883
ES851220	Other		EXP13950		MBAA	55	2883
ES851227	Other		EXP13950		MBAA	55	2883
ES851232	Other		EXP13950		MBAA	55	2883
ES851233	Other		EXP13950		MBAA	55	2883
ES851245	Other		EXP13950		MBAA	55	2883
ES851246	Other		EXP13950		MBAA	55	2883
ES851250	Other		EXP13950		MBAA	55	2883
ES851266	Other		EXP13950		MBAA	55	2883
ES851269	Other		EXP13950		MBAA	55	2883
ES851281	Other		EXP13950		MBAA	55	2883
ES851288	Other		EXP13950		MBAA	55	2883
ES834627	Other		EXP13921		FCM	22	2883
ES834639	Other		EXP13921		FCM	17	2883
ES834641	Other		EXP13921		FCM	22	2883
ES834644	Other		EXP13921		FCM	16	2883
ES834645	Other		EXP13921		FCM	16	2883
ES834656	Other		EXP13921		FCM	14	2883
ES834662	Other		EXP13921		FCM	22	2883
ES834708	Other		EXP13921		FCM	16	2883
ES834721	Other		EXP13921		FCM	16	2883
ES834726	Other		EXP13921		FCM	14	2883
ES834735	Other		EXP13921		FCM	16	2883
ES848315	Other		EXP13922		OTHER	0	2883
ES848317	Other		EXP13922		OTHER	0	2883
ES848318	Other		EXP13922		OTHER	0	2883
ES848324	Other		EXP13922		OTHER	0	2883
ES848329	Other		EXP13922		OTHER	0	2883
ES848347	Other		EXP13922		OTHER	0	2883
ES848364	Other		EXP13922		OTHER	0	2883
ES848372	Other		EXP13922		OTHER	0	2883
ES848379	Other		EXP13922		OTHER	0	2883
ES848392	Other		EXP13922		OTHER	0	2883
ES848401	Other		EXP13922		OTHER	0	2883
ES848407	Other		EXP13922		OTHER	0	2883
ES848409	Other		EXP13922		OTHER	0	2883
ES848418	Other		EXP13922		OTHER	0	2883
ES848423	Other		EXP13922		OTHER	0	2883
ES848429	Other		EXP13922		OTHER	0	2883
ES848433	Other		EXP13922		OTHER	0	2883
ES848450	Other		EXP13922		OTHER	0	2883
ES834743	Other		EXP13921		FCM	16	2883
ES834747	Other		EXP13921		FCM	14	2883
ES834750	Other		EXP13921		FCM	16	2883
ES834752	Other		EXP13921		FCM	18	2883
ES834760	Other		EXP13921		FCM	22	2883
ES834762	Other		EXP13921		FCM	13	2883
ES834763	Other		EXP13921		FCM	16	2883
ES834776	Other		EXP13921		FCM	13	2883
ES834796	Other		EXP13921		FCM	14	2883
ES834800	Other		EXP13921		FCM	17	2883
ES834806	Other		EXP13921		FCM	16	2883
ES834817	Other		EXP13921		FCM	14	2883
ES834822	Other		EXP13921		FCM	18	2883
ES834824	Other		EXP13921		FCM	14	2883
ES834831	Other		EXP13921		FCM	14	2883
ES834832	Other		EXP13921		FCM	13	2883
ES834838	Other		EXP13921		FCM	14	2883
ES834846	Other		EXP13921		FCM	13	2883
ES834856	Other		EXP13921		FCM	17	2883
ES834862	Other		EXP13921		FCM	16	2883
ES834864	Other		EXP13921		FCM	18	2883
ES834866	Other		EXP13921		FCM	14	2883
ES834867	Other		EXP13921		FCM	13	2883
ES834874	Other		EXP13921		FCM	13	2883
ES834886	Other		EXP13921		FCM	22	2883
ES834892	Other		EXP13921		FCM	18	2883
ES834893	Other		EXP13921		FCM	22	2883
ES834906	Other		EXP13921		FCM	18	2883
ES834907	Other		EXP13921		FCM	22	2883
ES834908	Other		EXP13921		FCM	14	2883
ES834915	Other		EXP13921		FCM	14	2883
ES834951	Other		EXP13921		FCM	13	2883
ES834976	Other		EXP13921		FCM	18	2883
ES834979	Other		EXP13921		FCM	13	2883
ES850822	Other		EXP13950		MBAA	55	2883
ES850825	Other		EXP13950		MBAA	55	2883
ES850831	Other		EXP13950		MBAA	55	2883
ES850834	Other		EXP13950		MBAA	55	2883
ES850864	Other		EXP13950		MBAA	55	2883
ES850868	Other		EXP13950		MBAA	55	2883
ES850870	Other		EXP13950		MBAA	55	2883
ES850879	Other		EXP13950		MBAA	55	2883
ES850891	Other		EXP13950		MBAA	55	2883
ES850894	Other		EXP13950		MBAA	55	2883
ES850896	Other		EXP13950		MBAA	55	2883
ES850900	Other		EXP13950		MBAA	55	2883
ES850916	Other		EXP13950		MBAA	55	2883
ES834995	Other		EXP13921		FCM	16	2883
ES834996	Other		EXP13921		FCM	17	2883
ES835006	Other		EXP13921		FCM	14	2883
ES835008	Other		EXP13921		FCM	16	2883
ES835014	Other		EXP13921		FCM	13	2883
ES835021	Other		EXP13921		FCM	13	2883
ES835022	Other		EXP13921		FCM	16	2883
ES835024	Other		EXP13921		FCM	17	2883
ES835034	Other		EXP13921		FCM	14	2883
ES835054	Other		EXP13921		FCM	22	2883
ES835065	Other		EXP13921		FCM	16	2883
ES835070	Other		EXP13921		FCM	13	2883
ES835071	Other		EXP13921		FCM	16	2883
ES835072	Other		EXP13921		FCM	16	2883
ES850921	Other		EXP13950		MBAA	55	2883
ES850924	Other		EXP13950		MBAA	55	2883
ES850953	Other		EXP13950		MBAA	55	2883
ES850956	Other		EXP13950		MBAA	55	2883
ES850960	Other		EXP13950		MBAA	55	2883
ES850966	Other		EXP13950		MBAA	55	2883
ES850988	Other		EXP13950		MBAA	55	2883
ES851004	Other		EXP13950		MBAA	55	2883
ES851010	Other		EXP13950		MBAA	55	2883
ES851029	Other		EXP13950		MBAA	55	2883
ES851030	Other		EXP13950		MBAA	55	2883
ES851033	Other		EXP13950		MBAA	55	2883
ES851036	Other		EXP13950		MBAA	55	2883
ES847981	Other		EXP13922		OTHER	0	2883
ES847992	Other		EXP13922		OTHER	0	2883
ES847993	Other		EXP13922		OTHER	0	2883
ES847999	Other		EXP13922		OTHER	0	2883
ES848004	Other		EXP13922		OTHER	0	2883
ES848029	Other		EXP13922		OTHER	0	2883
ES848030	Other		EXP13922		OTHER	0	2883
ES848037	Other		EXP13922		OTHER	0	2883
ES848053	Other		EXP13922		OTHER	0	2883
ES848061	Other		EXP13922		OTHER	0	2883
ES848065	Other		EXP13922		OTHER	0	2883
ES833832	Other		EXP13915		HAI	6	2883
ES833836	Other		EXP13915		HAI	6	2883
ES833843	Other		EXP13915		HAI	3	2883
ES833849	Other		EXP13915		HAI	3	2883
ES833852	Other		EXP13915		HAI	6	2883
ES833855	Other		EXP13915		HAI	3	2883
ES833859	Other		EXP13915		HAI	3	2883
ES833866	Other		EXP13915		HAI	6	2883
ES833874	Other		EXP13915		HAI	6	2883
ES833890	Other		EXP13915		HAI	5	2883
ES833891	Other		EXP13915		HAI	3	2883
ES834573	Other		EXP13921		FCM	13	2883
ES834575	Other		EXP13921		FCM	16	2883
ES834579	Other		EXP13921		FCM	14	2883
ES834583	Other		EXP13921		FCM	17	2883
ES834587	Other		EXP13921		FCM	13	2883
ES834601	Other		EXP13921		FCM	13	2883
ES834612	Other		EXP13921		FCM	18	2883
ES850725	Other		EXP13950		MBAA	55	2883
ES850727	Other		EXP13950		MBAA	55	2883
ES850740	Other		EXP13950		MBAA	55	2883
ES850752	Other		EXP13950		MBAA	55	2883
ES850759	Other		EXP13950		MBAA	55	2883
ES850777	Other		EXP13950		MBAA	55	2883
ES850778	Other		EXP13950		MBAA	55	2883
ES850791	Other		EXP13950		MBAA	55	2883
ES850793	Other		EXP13950		MBAA	55	2883
