FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
1103768	CD3+	CD3+	ANA809	550080
1103769	CD4+	CD4+	ANA41	550080
1103770	CD8-	CD8-	ANA810	550080
1103778	CD8-	CD8-	ANA810	550081
1103789	CCR6-	CCR6-	ANA36	550082
1103799	CXCR5-	CXCR5-	ANA78	550084
1103800	CD45RA-	CD45RA-	ANA816	550084
1103809	CD3+	CD3+	ANA809	550086
1103819	CD8-	CD8-	ANA810	550087
1103824	CD3+	CD3+	ANA809	550088
1103840	CD4+	CD4+	ANA41	550090
1103878	CD4-	CD4-	ANA41	550097
1103912	CD20-	CD20-	ANA806	550104
1103947	CD14-	CD14-	ANA804	550111
1103949	CD19+	CD19+	ANA805	550112
1103984	CD14-	CD14-	ANA804	550118
1103985	CD20-	CD20-	ANA806	550118
1103996		Lin1-		550121
1104005	B7-2+	CD86+	ANA868	550122
1104012	HLADR+	HLA-DR+	ANA812	550124
1104019	CD2-	CD2-	ANA860	550125
1104027	BDCA2, CD303-	BDCA2-	ANA870	550127
1104047	CD2-	CD2-	ANA860	550130
1104051	CD11c+	CD11c+	ANA814	550131
1104077	BDCA2, CD303-	BDCA2-	ANA870	550135
1104086	BDCA3+	BDCA3+	ANA894	550136
1104090	HLADR+	HLA-DR+	ANA812	550137
1104096		Lin1-		550138
1104111	CD14+	CD14+	ANA804	550142
1104116	CD16-	CD16-	ANA811	550143
1104123	CCRL1+	CX3CR1+	ANA59	550145
1104136	CD14+	CD14+	ANA804	550149
1104146	CD16+	CD16+	ANA811	550151
1104159	HLADRlo	HLA-DRlo	ANA812	550155
1104163	CD16-	CD16-	ANA811	550156
1104173	HLADR+	HLA-DR+	ANA812	550159
1104175	B7-2-	CD86-	ANA868	550159
1104178	CD16-	CD16-	ANA811	550160
1104200	CD3+	CD3+	ANA809	550169
1104217	CD8-	CD8-	ANA810	550174
1104245	CD8-	CD8-	ANA810	550178
1104248	CXCR3+	CXCR3+	ANA76	550178
1104269	CXCR5+	CXCR5+	ANA78	550181
1104272	CCR6-	CCR6-	ANA36	550181
1104282	CD4+	CD4+	ANA41	550183
1104298	CCR6-	CCR6-	ANA36	550185
1104304	CXCR3+	CXCR3+	ANA76	550186
1104318	CD45RA-	CD45RA-	ANA816	550188
1104319	CXCR3+	CXCR3+	ANA76	550188
1104323	CD4+	CD4+	ANA41	550189
1104326	CD45RA-	CD45RA-	ANA816	550189
1104328	CCR6+	CCR6+	ANA36	550189
1104348	CD45RA-	CD45RA-	ANA816	550192
1104354	CD8+	CD8+	ANA810	550193
1104356	CD4-	CD4-	ANA41	550194
1104357	CD8+	CD8+	ANA810	550194
1104364	CD4-	CD4-	ANA41	550196
1104374	CD19+	CD19+	ANA805	550199
1104381	CD27+	CD27+	ANA40	550200
1104382	CD19+	CD19+	ANA805	550201
1104387	CD19+	CD19+	ANA805	550202
1104390	CD27+	CD27+	ANA40	550202
1104391	CD138+	CD138+	ANA891	550202
1104393	CD19+	CD19+	ANA805	550203
1104413	CD24+	CD24+	ANA807	550206
1104415	CD19+	CD19+	ANA805	550207
1104419	IgD+	IgD+	ANA813	550207
1104420	CD19+	CD19+	ANA805	550208
1104422	CD14-	CD14-	ANA804	550208
1104444	CD3-	CD3-	ANA809	550213
1104449	CD19+	CD19+	ANA805	550214
1104475	CD20-	CD20-	ANA806	550218
1104481		Lin1-		550220
1104485	CD2-	CD2-	ANA860	550220
1104491		Lin1-		550222
1104493	BDCA2, CD303+	BDCA2+	ANA870	550222
1104512	BDCA2, CD303-	BDCA2-	ANA870	550226
1104519	B7-2+	CD86+	ANA868	550227
1104523	CD11c+	CD11c+	ANA814	550228
1104535	BDCA3-	BDCA3-	ANA894	550230
1104537	CD2-	CD2-	ANA860	550230
1104552		Lin1-		550233
1104556	BDCA3-	BDCA3-	ANA894	550233
1104561	BDCA2, CD303-	BDCA2-	ANA870	550234
1104578	CD2+	CD2+	ANA860	550236
1104582	CD11c+	CD11c+	ANA814	550237
1104583	BDCA3+	BDCA3+	ANA894	550237
1104595	CD14+	CD14+	ANA804	550240
1104603	CD16+	CD16+	ANA811	550242
1104618	CD14+	CD14+	ANA804	550247
1104637	CD11b-	CD11b-	ANA878	550251
1104638	CD14+	CD14+	ANA804	550252
1104649	HLADRlo	HLA-DRlo	ANA812	550255
1104653	CD16-	CD16-	ANA811	550256
1104658	CD14+	CD14+	ANA804	550258
1104665	B7-2-	CD86-	ANA868	550259
1104672	CD16-	CD16-	ANA811	550261
1104679	HLADR+	HLA-DR+	ANA812	550263
1104687	granulocyte	granulocyte		550266
1104691	CD3+	CD3+	ANA809	550270
1104695	CD8-	CD8-	ANA810	550271
1104720	CD8-	CD8-	ANA810	550276
1104733	CD3+	CD3+	ANA809	550278
1104734	CD4+	CD4+	ANA41	550278
1104735	CD8-	CD8-	ANA810	550278
1104762	CCR6-	CCR6-	ANA36	550281
1104768	CXCR3-	CXCR3-	ANA76	550282
1104770	CD278+	ICOS+	ANA898	550282
1104772	CD4+	CD4+	ANA41	550283
1104794	CXCR3+	CXCR3+	ANA76	550286
1104796	CD278+	ICOS+	ANA898	550286
1104802	CXCR3+	CXCR3+	ANA76	550287
1104805	CD4+	CD4+	ANA41	550288
1104812	CD3+	CD3+	ANA809	550289
1104816	CD45RA-	CD45RA-	ANA816	550289
1104824	CXCR3-	CXCR3-	ANA76	550290
1104829	CD8-	CD8-	ANA810	550291
1104833	CCR6-	CCR6-	ANA36	550291
1104838	CD45RA-	CD45RA-	ANA816	550292
1104854	CD4-	CD4-	ANA41	550296
1104872	CD19+	CD19+	ANA805	550301
1104885	CD14-	CD14-	ANA804	550303
1104891	CD38+	CD38+	ANA808	550304
1104901	CD14-	CD14-	ANA804	550306
1104903	CD24+	CD24+	ANA807	550306
1104905	CD19+	CD19+	ANA805	550307
1104919	IgD-	IgD-	ANA813	550309
1104921	CD3-	CD3-	ANA809	550310
1104922	CD14-	CD14-	ANA804	550310
1104932	CD20-	CD20-	ANA806	550312
1104934	CD3-	CD3-	ANA809	550313
1104935	CD14-	CD14-	ANA804	550313
1104939	CD19+	CD19+	ANA805	550314
1104963	CD3-	CD3-	ANA809	550318
1104985	B7-2+	CD86+	ANA868	550322
1104986		Lin1-		550323
1105010		Lin1-		550328
1105011	HLADR+	HLA-DR+	ANA812	550328
1105020	BDCA1+	CD1c+	ANA895	550329
1105022	HLADR+	HLA-DR+	ANA812	550330
1105026	BDCA1+	CD1c+	ANA895	550330
1105039	BDCA3-	BDCA3-	ANA894	550332
1105052	CD11c+	CD11c+	ANA814	550334
1105077	HLADR+	HLA-DR+	ANA812	550338
1105081	BDCA1-	CD1c-	ANA895	550338
1105087	CD40+	CD40+	ANA42	550340
1105088	CD14lo	CD14lo	ANA804	550341
1105097	CD14lo	CD14lo	ANA804	550344
1105100	CD14+	CD14+	ANA804	550345
1105102	CD16-	CD16-	ANA811	550345
1105110	CD16+	CD16+	ANA811	550347
1105112	CD14+	CD14+	ANA804	550348
1105136	HLADRhi	HLA-DRhi	ANA812	550354
1105144	CD14+	CD14+	ANA804	550357
1105156	CD14+	CD14+	ANA804	550360
1105168	CD14+	CD14+	ANA804	550363
1105171	SLAN-	SLAN-	ANA906	550363
1105186	CD3+	CD3+	ANA809	550372
1105189	CD278+	ICOS+	ANA898	550372
1105191	CD4+	CD4+	ANA41	550373
1105192	CD8-	CD8-	ANA810	550373
1105204	CXCR5+	CXCR5+	ANA78	550375
1105216	CD3+	CD3+	ANA809	550377
1105219	CXCR5+	CXCR5+	ANA78	550377
1105227	CD45RA-	CD45RA-	ANA816	550378
1105228	CXCR3+	CXCR3+	ANA76	550378
1105231	CD3+	CD3+	ANA809	550379
1105242	CD45RA-	CD45RA-	ANA816	550380
1105248	CD8-	CD8-	ANA810	550381
1105257	CD45RA-	CD45RA-	ANA816	550382
1105260	CD278+	ICOS+	ANA898	550382
1105269	CXCR5-	CXCR5-	ANA78	550384
1105277	CXCR3+	CXCR3+	ANA76	550385
1105293	CCR6+	CCR6+	ANA36	550387
1105302	CD3+	CD3+	ANA809	550389
1105305	CXCR5-	CXCR5-	ANA78	550389
1105310	CD4+	CD4+	ANA41	550390
1105317	CD3+	CD3+	ANA809	550391
1105325	CD4+	CD4+	ANA41	550392
1105331	CD278+	ICOS+	ANA898	550392
