EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES1005508	ESR15679
ES1005509	ESR15678
ES1005509	ESR15673
ES1005510	ESR16852
ES1005510	ESR15706
ES1005511	ESR15711
ES1005512	ESR15727
ES1005512	ESR15678
ES1005512	ESR15676
ES1005512	ESR15675
ES1005512	ESR15673
ES1005514	ESR15678
ES1005514	ESR15677
ES1005514	ESR15673
ES1005514	ESR15671
ES1005515	ESR15674
ES1005516	ESR16852
ES1005516	ESR15673
ES1005519	ESR15677
ES1005519	ESR15673
ES1005520	ESR15716
ES1005520	ESR15674
ES1005520	ESR15673
ES1005521	ESR15723
ES1005522	ESR15676
ES1005523	ESR15719
ES1005523	ESR15678
ES1005524	ESR15690
ES1005524	ESR15673
ES1005525	ESR15705
ES1005525	ESR15703
ES1005527	ESR15716
ES1005528	ESR15703
ES1005528	ESR15673
ES1004610	ESR15726
ES1004610	ESR15678
ES1004611	ESR15686
ES1004612	ESR15732
ES1004612	ESR15710
ES1004612	ESR15679
ES1004612	ESR15678
ES1004612	ESR15675
ES1004614	ESR15674
ES1004615	ESR15702
ES1004616	ESR15678
ES1004616	ESR15673
ES1004617	ESR15709
ES1004617	ESR15675
ES1004619	ESR15708
ES1004621	ESR15673
ES1004622	ESR15685
ES1004622	ESR15681
ES1004623	ESR15673
ES1004625	ESR15734
ES1004625	ESR15674
ES1004625	ESR15673
ES1004626	ESR15729
ES1004627	ESR15727
ES1004628	ESR15698
ES1004630	ESR15725
ES1004631	ESR15684
ES1004632	ESR15698
ES1004632	ESR15695
ES1004633	ESR15692
ES1004634	ESR15720
ES1004635	ESR15708
ES1004635	ESR15706
ES1004635	ESR15702
ES1004637	ESR15717
ES1004637	ESR15674
ES1004638	ESR15697
ES1004638	ESR15695
ES1004639	ESR15692
ES1004639	ESR15691
ES1004639	ESR15680
ES1004641	ESR15725
ES1004642	ESR15732
ES1004642	ESR15674
ES1004643	ESR15683
ES1004645	ESR15688
ES1004645	ESR15682
ES1004646	ESR15676
ES1004647	ESR15674
ES1004648	ESR15732
ES1004648	ESR15679
ES1004648	ESR15678
ES1004650	ESR15680
ES1004651	ESR15730
ES1004651	ESR15700
ES1004651	ESR15699
ES1004651	ESR15698
ES1004651	ESR15676
ES1004652	ESR15717
ES1004652	ESR15716
ES1004652	ESR15680
ES1004653	ESR15699
ES1004653	ESR15683
ES1004655	ESR15721
ES1004655	ESR15706
ES1004656	ESR15673
ES1004657	ESR15729
ES1004658	ESR15679
ES1004658	ESR15673
ES1004659	ESR15703
ES1004660	ESR15707
ES1004660	ESR15702
ES1004660	ESR15673
ES1004661	ESR15735
ES1004661	ESR15726
ES1004661	ESR15680
ES1004661	ESR15678
ES1004662	ESR15688
ES1004662	ESR15685
ES1004663	ESR15720
ES1004663	ESR15673
ES1004664	ESR15708
ES1004664	ESR15707
ES1004664	ESR15704
ES1004664	ESR15702
ES1004665	ESR15696
ES1004665	ESR15683
ES1004666	ESR15729
ES1004666	ESR15691
ES1004667	ESR15676
ES1004668	ESR15678
ES1004669	ESR15704
ES1004671	ESR15700
ES1004671	ESR15697
ES1004672	ESR15720
ES1004672	ESR15674
ES1004673	ESR15690
ES1004673	ESR15673
ES1004674	ESR15729
ES1004675	ESR15679
ES1004675	ESR15676
ES1004675	ESR15675
ES1004677	ESR15679
ES1004679	ESR15679
ES1004680	ESR15702
ES1004682	ESR15710
ES1004684	ESR15679
ES1004686	ESR15726
ES1004686	ESR15719
ES1004687	ESR15721
ES1004687	ESR15720
ES1004687	ESR15673
ES1004689	ESR15711
ES1004689	ESR15709
ES1004690	ESR15731
ES1004690	ESR15708
ES1004690	ESR15707
ES1004690	ESR15703
ES1004690	ESR15680
ES1004691	ESR15687
ES1004691	ESR15682
ES1004691	ESR15679
ES1004692	ESR15706
ES1004693	ESR15734
ES1004694	ESR15680
ES1004694	ESR15678
ES1004694	ESR15673
ES1004695	ESR15674
ES1004697	ESR15722
ES1004697	ESR15720
ES1004698	ESR15673
ES1004699	ESR16851
ES1004699	ESR15724
ES1004699	ESR15674
ES1004701	ESR15684
ES1004702	ESR15678
ES1004703	ESR15731
ES1004703	ESR15680
ES1004703	ESR15673
ES1004704	ESR15718
