STANDARD_CURVE_ACCESSION	EXPERIMENT_ACCESSION	ANALYTE	ASSAY_GROUP_ID	ASSAY_ID	COMMENTS	DATA_FORMAT	FORMULA	LOWER_LIMIT	LOWER_LIMIT_UNIT	RESULTSET_NAME	RESULT_SCHEMA	RESULT_TOT_RECS	UPPER_LIMIT	UPPER_LIMIT_UNIT	WORKSPACE_ID
SC6999	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6635	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6639	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6650	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6666	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7011	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7015	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7038	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7039	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6669	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6680	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6687	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6700	EXP13950	part of the kit	H51-1	362		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6704	EXP13950	part of the kit	H51-1	366		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7055	EXP13950	part of the kit	H51-1	364		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7063	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7065	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7066	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7078	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7082	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7086	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6714	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6725	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6732	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6745	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7091	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7094	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7112	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7126	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6756	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6758	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6772	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6775	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6780	EXP13950	part of the kit	H51-1	364		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7130	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7132	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7134	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7153	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7160	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6793	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6798	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6805	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6807	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6817	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6820	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7171	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7176	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7180	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7197	EXP13950	part of the kit	H51-1	362		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6830	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6839	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6852	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6858	EXP13950	part of the kit	H51-1	364		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6860	EXP13950	part of the kit	H51-1	366		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6872	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6873	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6885	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6894	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6895	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6907	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6918	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6920	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6928	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6929	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6931	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6932	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6933	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6940	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6947	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6958	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6963	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6969	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6985	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6996	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7002	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7008	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7009	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6629	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6636	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6638	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6642	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6656	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6662	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7020	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7028	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7032	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6667	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6677	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6678	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6681	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6685	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6686	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6688	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6690	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6699	EXP13950	part of the kit	H51-1	362		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6706	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7053	EXP13950	part of the kit	H51-1	362		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7071	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7075	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7088	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6708	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6709	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6715	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6726	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6728	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6730	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6734	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7095	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7119	EXP13950	part of the kit	H51-1	362		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6747	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6757	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6760	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6763	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6765	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6769	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6776	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6785	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7137	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7146	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7167	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6789	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6803	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6813	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7170	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7185	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7189	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7193	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6841	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6842	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6843	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6844	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6846	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6853	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6870	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6878	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6896	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6899	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6900	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6902	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6903	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6908	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6909	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6916	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6934	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6945	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
