STANDARD_CURVE_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
SC6780	533146	MBAA	MBAA
SC6779	533146	MBAA	MBAA
SC6777	533146	MBAA	MBAA
SC6765	533146	MBAA	MBAA
SC6746	533146	MBAA	MBAA
SC6732	533146	MBAA	MBAA
SC6721	533146	MBAA	MBAA
SC6715	533146	MBAA	MBAA
SC6701	533146	MBAA	MBAA
SC6696	533146	MBAA	MBAA
SC6693	533146	MBAA	MBAA
SC6666	533146	MBAA	MBAA
SC6658	533146	MBAA	MBAA
SC6654	533146	MBAA	MBAA
SC6643	533146	MBAA	MBAA
SC6642	533146	MBAA	MBAA
SC6637	533146	MBAA	MBAA
SC6636	533146	MBAA	MBAA
SC6628	533146	MBAA	MBAA
SC7201	533146	MBAA	MBAA
SC7198	533146	MBAA	MBAA
SC7197	533146	MBAA	MBAA
SC7196	533146	MBAA	MBAA
SC7193	533146	MBAA	MBAA
SC7181	533146	MBAA	MBAA
SC7171	533146	MBAA	MBAA
SC7158	533146	MBAA	MBAA
SC7147	533146	MBAA	MBAA
SC7136	533146	MBAA	MBAA
SC7131	533146	MBAA	MBAA
SC7129	533146	MBAA	MBAA
SC7121	533146	MBAA	MBAA
SC7119	533146	MBAA	MBAA
SC7117	533146	MBAA	MBAA
SC7116	533146	MBAA	MBAA
SC7113	533146	MBAA	MBAA
SC7108	533146	MBAA	MBAA
SC7080	533146	MBAA	MBAA
SC7077	533146	MBAA	MBAA
SC7074	533146	MBAA	MBAA
SC7073	533146	MBAA	MBAA
SC7052	533146	MBAA	MBAA
SC7049	533146	MBAA	MBAA
SC7046	533146	MBAA	MBAA
SC7022	533146	MBAA	MBAA
SC7020	533146	MBAA	MBAA
SC7003	533146	MBAA	MBAA
SC6993	533146	MBAA	MBAA
SC6992	533146	MBAA	MBAA
SC6984	533146	MBAA	MBAA
SC6982	533146	MBAA	MBAA
SC6974	533146	MBAA	MBAA
SC6966	533146	MBAA	MBAA
SC6958	533146	MBAA	MBAA
SC6950	533146	MBAA	MBAA
SC6943	533146	MBAA	MBAA
SC6933	533146	MBAA	MBAA
SC6927	533146	MBAA	MBAA
SC6922	533146	MBAA	MBAA
SC6919	533146	MBAA	MBAA
SC6915	533146	MBAA	MBAA
SC6912	533146	MBAA	MBAA
SC6856	533146	MBAA	MBAA
SC6845	533146	MBAA	MBAA
SC6844	533146	MBAA	MBAA
SC6836	533146	MBAA	MBAA
SC6817	533146	MBAA	MBAA
SC6812	533146	MBAA	MBAA
SC6811	533146	MBAA	MBAA
SC6798	533146	MBAA	MBAA
