EXPSAMPLE_ACCESSION	FILE_INFO_ID	RESULT_SCHEMA
ES845010	527591	FCM
ES845006	527591	FCM
ES845016	527592	FCM
ES845014	527593	FCM
ES845005	527593	FCM
ES845003	527593	FCM
ES845020	527594	FCM
ES845012	527594	FCM
ES845019	527595	FCM
ES845017	527595	FCM
ES845010	527595	FCM
ES845006	527595	FCM
ES845004	527595	FCM
ES845003	527595	FCM
ES845013	527596	FCM
ES845011	527596	FCM
ES845007	527596	FCM
ES845003	527596	FCM
ES845018	527597	FCM
ES845016	527597	FCM
ES845004	527597	FCM
ES845020	527598	FCM
ES845014	527598	FCM
ES845010	527598	FCM
ES845009	527598	FCM
ES845008	527598	FCM
ES845004	527598	FCM
ES845020	527599	FCM
ES845012	527600	FCM
ES845004	527600	FCM
ES845010	527607	FCM
ES499095	280550	OTHER
ES499092	280550	OTHER
ES499091	280550	OTHER
ES499071	280550	OTHER
ES499065	280550	OTHER
ES499062	280550	OTHER
ES499059	280550	OTHER
ES499057	280550	OTHER
ES499047	280550	OTHER
ES499039	280550	OTHER
ES499037	280550	OTHER
ES499032	280550	OTHER
ES499029	280550	OTHER
ES499028	280550	OTHER
ES499025	280550	OTHER
ES499006	280550	OTHER
ES499004	280550	OTHER
ES498981	280550	OTHER
ES498963	280550	OTHER
ES498962	280550	OTHER
ES498956	280550	OTHER
ES847306	530373	FCM
ES847322	530389	FCM
ES847336	530403	FCM
ES847342	530409	FCM
ES847442	530410	OTHER
ES847419	530410	OTHER
ES847414	530410	OTHER
ES847412	530410	OTHER
ES847407	530410	OTHER
ES847402	530410	OTHER
ES847393	530410	OTHER
ES847388	530410	OTHER
ES847380	530410	OTHER
ES847377	530410	OTHER
ES847364	530410	OTHER
ES847361	530410	OTHER
ES847354	530410	OTHER
ES847347	530410	OTHER
ES847449	530411	OTHER
ES847431	530411	OTHER
ES847429	530411	OTHER
ES847419	530411	OTHER
ES847418	530411	OTHER
ES847411	530411	OTHER
ES847401	530411	OTHER
ES847399	530411	OTHER
ES847397	530411	OTHER
ES847391	530411	OTHER
ES847390	530411	OTHER
ES847387	530411	OTHER
ES847386	530411	OTHER
ES847383	530411	OTHER
ES847381	530411	OTHER
ES847379	530411	OTHER
ES847360	530411	OTHER
ES847357	530411	OTHER
ES847344	530411	OTHER
ES847442	530412	OTHER
ES847431	530412	OTHER
ES847430	530412	OTHER
ES847428	530412	OTHER
ES847422	530412	OTHER
ES847417	530412	OTHER
ES847412	530412	OTHER
ES847398	530412	OTHER
ES847392	530412	OTHER
ES847391	530412	OTHER
ES847390	530412	OTHER
ES847388	530412	OTHER
ES847383	530412	OTHER
ES847368	530412	OTHER
ES847345	530412	OTHER
ES847342	530412	OTHER
ES847449	530413	OTHER
ES847444	530413	OTHER
ES847427	530413	OTHER
ES847423	530413	OTHER
ES847411	530413	OTHER
ES847408	530413	OTHER
ES847390	530413	OTHER
ES847385	530413	OTHER
ES847382	530413	OTHER
ES847375	530413	OTHER
ES847371	530413	OTHER
ES847368	530413	OTHER
ES847367	530413	OTHER
ES847366	530413	OTHER
ES847358	530413	OTHER
ES847354	530413	OTHER
ES847350	530413	OTHER
ES847443	530414	FCM
ES847416	530414	FCM
ES847415	530414	FCM
ES847413	530414	FCM
ES847404	530414	FCM
ES847403	530414	FCM
ES847399	530414	FCM
ES847386	530414	FCM
ES847379	530414	FCM
ES847363	530414	FCM
ES847362	530414	FCM
ES847352	530414	FCM
ES847349	530414	FCM
ES847348	530414	FCM
ES847346	530414	FCM
ES847344	530414	FCM
ES847443	530415	FCM
ES847430	530415	FCM
ES847403	530415	FCM
ES847394	530415	FCM
ES847387	530415	FCM
ES847385	530415	FCM
ES847384	530415	FCM
ES847377	530415	FCM
ES847361	530415	FCM
ES847358	530415	FCM
ES847349	530415	FCM
ES847344	530415	FCM
ES847425	530416	FCM
ES847419	530416	FCM
ES847417	530416	FCM
ES847414	530416	FCM
ES847413	530416	FCM
ES847412	530416	FCM
ES847407	530416	FCM
ES847403	530416	FCM
ES847402	530416	FCM
ES847399	530416	FCM
ES847380	530416	FCM
ES847376	530416	FCM
ES847375	530416	FCM
ES847348	530416	FCM
ES847439	530417	FCM
