EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES848088	TRT1755
ES848093	TRT1754
ES848095	TRT494
ES848100	TRT1755
ES848102	TRT495
ES848115	TRT492
ES848127	TRT492
ES848128	TRT1753
ES848143	TRT494
ES848153	TRT1754
ES848158	TRT1753
ES848161	TRT494
ES834800	TRT1783
ES834805	TRT1783
ES834810	TRT1783
ES834817	TRT1783
ES834818	TRT1783
ES834820	TRT1783
ES834835	TRT1783
ES834841	TRT1783
ES834857	TRT1783
ES834861	TRT1783
ES834869	TRT1783
ES834883	TRT1783
ES834885	TRT1783
ES834886	TRT1783
ES834896	TRT1783
ES834898	TRT1783
ES834900	TRT1783
ES834917	TRT1783
ES834918	TRT1783
ES834919	TRT1783
ES834923	TRT1783
ES834928	TRT1783
ES834932	TRT1783
ES834957	TRT1783
ES834959	TRT1783
ES834960	TRT1783
ES834961	TRT1783
ES834975	TRT1783
ES834992	TRT1783
ES834995	TRT1783
ES834996	TRT1783
ES834997	TRT1783
ES835000	TRT1783
ES835005	TRT1783
ES835007	TRT1783
ES835015	TRT1783
ES835017	TRT1783
ES835026	TRT1783
ES835040	TRT1783
ES835042	TRT1783
ES835043	TRT1783
ES835055	TRT1783
ES835063	TRT1783
ES835065	TRT1783
ES848178	TRT1755
ES848188	TRT1753
ES848189	TRT1754
ES848191	TRT494
ES848209	TRT494
ES848210	TRT495
ES848212	TRT1753
ES848225	TRT1754
ES848238	TRT1755
ES848239	TRT494
ES848243	TRT1754
ES848251	TRT494
ES848261	TRT1754
ES848274	TRT1755
ES848286	TRT1755
ES848288	TRT495
ES848289	TRT492
ES848293	TRT494
ES848295	TRT492
ES848303	TRT1754
ES848312	TRT495
ES848315	TRT1754
ES848336	TRT495
ES848352	TRT1755
ES848369	TRT1754
ES848381	TRT1754
ES848393	TRT1754
ES848398	TRT1753
ES848399	TRT1754
ES848403	TRT492
ES848404	TRT1753
ES848406	TRT1755
ES848419	TRT494
ES848428	TRT1753
ES848429	TRT1754
ES848433	TRT492
ES848438	TRT495
ES848445	TRT492
ES848447	TRT1754
ES848454	TRT1755
ES848458	TRT1753
ES834586	TRT1783
ES834591	TRT1783
ES834594	TRT1783
ES834611	TRT1783
ES834623	TRT1783
ES834650	TRT1783
ES834653	TRT1783
ES834684	TRT1783
ES834689	TRT1783
ES834696	TRT1783
ES834698	TRT1783
ES834705	TRT1783
ES834706	TRT1783
ES834721	TRT1783
ES834729	TRT1783
ES834750	TRT1783
ES834752	TRT1783
ES834756	TRT1783
ES834759	TRT1783
ES834771	TRT1783
ES834772	TRT1783
ES834779	TRT1783
ES833747	TRT1785
ES833751	TRT1785
ES833765	TRT1785
ES833766	TRT1785
ES833777	TRT1785
ES833778	TRT1785
ES833786	TRT1785
ES833798	TRT1785
ES833803	TRT1785
ES833811	TRT1785
ES833814	TRT1785
ES833817	TRT1785
ES847994	TRT495
ES847996	TRT1753
ES850722	TRT1834
ES850753	TRT1834
ES850757	TRT1834
ES850771	TRT1834
ES850774	TRT1834
ES850776	TRT1834
ES850788	TRT1834
ES850798	TRT1834
ES850817	TRT1834
ES850829	TRT1834
ES850836	TRT1834
ES850838	TRT1834
ES850842	TRT1834
ES850863	TRT1834
ES850885	TRT1834
ES850887	TRT1834
ES834571	TRT1783
ES850902	TRT1834
ES850913	TRT1834
ES850916	TRT1834
ES850917	TRT1834
ES850920	TRT1834
ES850925	TRT1834
ES850934	TRT1834
ES850948	TRT1834
ES850954	TRT1834
ES850955	TRT1834
ES850970	TRT1834
ES850971	TRT1834
ES850977	TRT1834
ES850990	TRT1834
ES850992	TRT1834
ES851016	TRT1834
ES851017	TRT1834
ES851027	TRT1834
ES851033	TRT1834
ES851034	TRT1834
ES851040	TRT1834
ES851049	TRT1834
ES851061	TRT1834
ES851070	TRT1834
ES851072	TRT1834
ES851073	TRT1834
ES851083	TRT1834
ES851087	TRT1834
ES851092	TRT1834
ES851115	TRT1834
ES851122	TRT1834
ES851135	TRT1834
ES851136	TRT1834
ES851141	TRT1834
ES851159	TRT1834
ES851160	TRT1834
ES851165	TRT1834
ES851169	TRT1834
ES851184	TRT1834
ES851186	TRT1834
ES851201	TRT1834
ES851206	TRT1834
ES851208	TRT1834
ES851210	TRT1834
ES851227	TRT1834
ES851230	TRT1834
ES851231	TRT1834
ES851234	TRT1834
ES851240	TRT1834
ES851246	TRT1834
ES851248	TRT1834
ES851249	TRT1834
ES851250	TRT1834
ES851255	TRT1834
ES851274	TRT1834
ES851279	TRT1834
ES851283	TRT1834
ES851285	TRT1834
ES851290	TRT1834
ES851298	TRT1834
ES851299	TRT1834
ES851303	TRT1834
ES851313	TRT1834
ES833834	TRT1785
ES833837	TRT1785
ES833839	TRT1785
ES833840	TRT1785
ES833842	TRT1785
ES833851	TRT1785
ES833866	TRT1785
ES833867	TRT1785
ES833873	TRT1785
ES833888	TRT1785
ES848008	TRT1753
ES848021	TRT1754
ES848023	TRT494
ES848031	TRT492
ES848050	TRT1753
ES848051	TRT1754
ES848055	TRT492
ES848080	TRT1753
ES848083	TRT494
ES848096	TRT495
ES848103	TRT492
ES848105	TRT1754
ES848107	TRT494
ES848111	TRT1754
ES848112	TRT1755
ES848124	TRT1755
ES848126	TRT495
ES848138	TRT495
ES848156	TRT495
ES848163	TRT492
ES848168	TRT495
ES834794	TRT1783
ES834806	TRT1783
ES834822	TRT1783
ES834829	TRT1783
ES834832	TRT1783
ES834836	TRT1783
ES834837	TRT1783
ES834842	TRT1783
ES834846	TRT1783
ES834855	TRT1783
ES834864	TRT1783
ES834870	TRT1783
ES834878	TRT1783
ES834880	TRT1783
ES834884	TRT1783
ES834892	TRT1783
ES834901	TRT1783
ES834903	TRT1783
ES834908	TRT1783
ES834912	TRT1783
ES834922	TRT1783
ES834931	TRT1783
ES834947	TRT1783
ES834955	TRT1783
ES834965	TRT1783
ES834968	TRT1783
ES834970	TRT1783
ES834974	TRT1783
ES834982	TRT1783
ES834983	TRT1783
ES834987	TRT1783
ES834999	TRT1783
ES835004	TRT1783
ES835008	TRT1783
ES835021	TRT1783
ES835035	TRT1783
ES835036	TRT1783
ES835067	TRT1783
ES835073	TRT1783
ES835078	TRT1783
ES835080	TRT1783
ES848186	TRT495
ES848187	TRT492
ES848201	TRT1754
ES848213	TRT1754
ES848215	TRT494
ES848216	TRT495
ES848220	TRT1755
ES848224	TRT1753
ES848237	TRT1754
ES848241	TRT492
ES848244	TRT1755
ES848254	TRT1753
ES848264	TRT495
ES848268	TRT1755
ES848273	TRT1754
ES848275	TRT494
ES848282	TRT495
ES848298	TRT1755
ES848299	TRT494
ES848304	TRT1755
ES848314	TRT1753
ES848316	TRT1755
ES848320	TRT1753
ES848322	TRT1755
