EXPSAMPLE_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	DILUTION_FACTOR	PLATE_TYPE
ES850864	H51-2	2780	3	
ES850866	H51-2	2778	3	
ES850870	H51-2	2778	3	
ES850871	H51-2	2780	3	
ES850874	H51-2	2780	3	
ES850881	H51-2	2780	3	
ES850882	H51-2	2780	3	
ES850888	H51-2	2778	3	
ES850889	H51-2	2778	3	
ES850914	H51-2	2779	3	
ES850915	H51-2	2779	3	
ES850929	H51-2	2779	3	
ES850937	H51-2	2780	3	
ES850938	H51-2	2780	3	
ES850940	H51-2	2780	3	
ES850941	H51-2	2780	3	
ES850952	H51-2	2779	3	
ES850972	H51-2	2779	3	
ES850974	H51-2	2779	3	
ES850978	H51-2	2779	3	
ES850981	H51-2	2779	3	
ES850988	H51-2	2779	3	
ES850990	H51-2	2779	3	
ES850992	H51-2	2779	3	
ES851009	H51-2	2779	3	
ES851016	H51-2	2781	3	
ES851032	H51-2	2781	3	
ES851034	H51-2	2781	3	
ES851043	H51-2	2781	3	
ES851049	H51-2	2781	3	
ES851056	H51-2	2781	3	
ES851060	H51-2	2781	3	
ES851077	H51-2	2781	3	
ES851104	H51-2	2780	3	
ES851108	H51-2	2780	3	
ES851131	H51-2	2780	3	
ES851134	H51-2	2780	3	
ES851135	H51-2	2780	3	
ES851143	H51-2	2780	3	
ES851145	H51-2	2780	3	
ES851155	H51-2	2782	1	
ES851156	H51-2	2782	1	
ES851160	H51-1	362	1	
ES851174	H51-1	362	1	
ES851178	H51-1	364	1	
ES851180	H51-1	364	1	
ES851181	H51-1	364	1	
ES851191	H51-1	364	1	
ES851192	H51-1	364	1	
ES851194	H51-1	364	1	
ES851200	H51-1	364	1	
ES851202	H51-1	364	1	
ES851212	H51-1	364	1	
ES851215	H51-1	364	1	
ES851218	H51-1	364	1	
ES851221	H51-1	364	1	
ES851247	H51-1	364	1	
ES851251	H51-1	364	1	
ES851260	H51-1	366	1	
ES851264	H51-1	366	1	
ES851268	H51-1	366	1	
ES851269	H51-1	366	1	
ES851270	H51-1	366	1	
ES851276	H51-1	366	1	
ES851295	H51-1	366	1	
ES851301	H51-1	366	1	
ES851304	H51-1	366	1	
ES851305	H51-1	366	1	
ES851306	H51-1	366	1	
ES851307	H51-1	366	1	
ES851311	H51-1	366	1	
ES851313	H51-1	366	1	
ES851315	H51-1	366	1	
ES851322	H51-1	366	1	
ES851324	H51-1	366	1	
ES851326	H51-1	366	1	
ES851330	H51-1	366	1	
ES850720	H51-2	2777	3	
ES850739	H51-2	2777	3	
ES850769	H51-2	2777	3	
ES850776	H51-2	2778	3	
ES850777	H51-2	2778	3	
ES850778	H51-2	2778	3	
ES850779	H51-2	2778	3	
ES850792	H51-2	2777	3	
ES850800	H51-2	2782	1	
ES850804	H51-2	2782	1	
ES850807	H51-2	2777	3	
ES850826	H51-2	2780	3	
ES850836	H51-2	2778	3	
ES850839	H51-2	2778	3	
ES850843	H51-2	2778	3	
ES850849	H51-2	2778	3	
ES850862	H51-2	2780	3	
ES850865	H51-2	2778	3	
ES850892	H51-2	2778	3	
ES850895	H51-2	2778	3	
ES850898	H51-2	2778	3	
ES850908	H51-2	2780	3	
ES850913	H51-2	2779	3	
ES850917	H51-2	2779	3	
ES850957	H51-2	2780	3	
ES850960	H51-2	2780	3	
ES850973	H51-2	2779	3	
ES851022	H51-2	2781	3	
ES851023	H51-2	2781	3	
ES851028	H51-2	2781	3	
ES851036	H51-2	2782	1	
ES851067	H51-2	2782	1	
ES851074	H51-2	2781	3	
ES851083	H51-2	2781	3	
ES851085	H51-2	2781	3	
ES851092	H51-2	2781	3	
ES851094	H51-2	2781	3	
ES851099	H51-2	2781	3	
ES851137	H51-2	2780	3	
ES851147	H51-2	2780	3	
ES851149	H51-2	2780	3	
ES851154	H51-2	2782	1	
ES851165	H51-1	362	1	
ES851167	H51-1	362	1	
ES851175	H51-1	362	1	
ES851184	H51-1	364	1	
ES851193	H51-1	364	1	
ES851197	H51-1	364	1	
ES851199	H51-1	364	1	
ES851205	H51-1	364	1	
