EXPSAMPLE_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	DILUTION_FACTOR	PLATE_TYPE
ES815354		2290	3	
ES815360		2288	3	
ES815379		2288	3	
ES815389		2288	3	
ES815390		2288	3	
ES815391		2288	3	
ES815400		2288	3	
ES815403		2288	3	
ES815407		2288	3	
ES815412		2290	3	
ES815414		2288	3	
ES815421		2288	3	
ES815429		2288	3	
ES815439		2288	3	
ES815441		2288	3	
ES815451		2289	3	
ES815462		2289	3	
ES815471		2289	3	
ES815476		2289	3	
ES815491		2289	3	
ES815496		2289	3	
ES815509		2289	3	
ES815511		2289	3	
ES815520		2289	3	
ES815534		2290	3	
ES815536		2290	3	
ES815538		2290	3	
ES815544		2290	3	
ES815555		2290	3	
ES815568		2290	3	
ES815573		2290	3	
ES815586		2291	3	
ES815590		2291	3	
ES815598		2291	3	
ES815604		2291	3	
ES815611		2291	3	
ES815613		2291	3	
ES815637		2291	3	
ES815648		2291	3	
ES815651		2291	3	
ES815660		2291	3	
ES815662		2291	3	
ES815187		2292	3	
ES815188		2292	3	
ES815190		2292	3	
ES815192		2292	3	
ES815195		2292	3	
ES815197		2292	3	
ES815198		2292	3	
ES815202		2292	3	
ES815211		2292	3	
ES815216		2292	3	
ES815225		2292	3	
ES815229		2292	3	
ES815232		2292	3	
ES815236		2292	3	
ES815245		2292	3	
ES815253		2292	3	
ES815274		2293	3	
ES815289		2287	3	
ES815297		2287	3	
ES815313		2287	3	
ES815319		2287	3	
ES815331		2287	3	
ES815336		2287	3	
ES815345		2290	3	
ES815346		2290	3	
ES815347		2287	3	
ES815348		2287	3	
ES815351		2287	3	
ES815358		2288	3	
ES815362		2288	3	
ES815364		2288	3	
ES815366		2288	3	
ES815367		2288	3	
ES815375		2288	3	
ES815386		2288	3	
ES815387		2288	3	
ES815394		2288	3	
ES815402		2288	3	
ES815409		2290	3	
ES815418		2288	3	
ES815432		2290	3	
ES815449		2289	3	
ES815452		2289	3	
ES815454		2290	3	
ES815459		2289	3	
ES815468		2289	3	
ES815474		2289	3	
ES815488		2289	3	
ES815489		2289	3	
ES815490		2289	3	
ES815497		2289	3	
ES815504		2289	3	
ES815506		2289	3	
ES815521		2289	3	
ES815528		2289	3	
ES815533		2290	3	
ES815552		2290	3	
ES815558		2290	3	
ES815559		2290	3	
ES815583		2291	3	
ES815585		2291	3	
ES815587		2291	3	
ES815591		2291	3	
ES815597		2291	3	
ES815600		2291	3	
ES815605		2291	3	
ES815607		2291	3	
ES815642		2291	3	
ES815643		2291	3	
ES815652		2291	3	
ES815653		2291	3	
ES815658		2291	3	
ES815186		2292	3	
ES815191		2292	3	
ES815201		2292	3	
ES815203		2292	3	
ES815207		2292	3	
ES815210		2292	3	
ES815214		2292	3	
ES815235		2292	3	
ES815241		2292	3	
ES815246		2292	3	
ES815249		2292	3	
ES815254		2292	3	
ES815255		2292	3	
ES815262		2292	3	
ES815265		2293	3	
ES815268		2293	3	
ES815279		2293	3	
ES815291		2287	3	
ES815296		2287	3	
ES815306		2287	3	
ES815311		2287	3	
ES815312		2287	3	
ES815315		2287	3	
ES815321		2287	3	
ES815328		2287	3	
ES815332		2287	3	
ES815352		2287	3	
ES815353		2290	3	
ES815355		2288	3	
ES815372		2288	3	
ES815378		2288	3	
ES815385		2288	3	
ES815396		2288	3	
ES815417		2288	3	
ES815430		2288	3	
ES815433		2288	3	
ES815435		2290	3	
ES815438		2288	3	
ES815469		2289	3	
ES815492		2289	3	
ES815514		2289	3	
ES815525		2289	3	
ES815539		2290	3	
ES815542		2290	3	
ES815546		2290	3	
ES815547		2290	3	
ES815548		2290	3	
ES815554		2290	3	
ES815560		2290	3	
ES815567		2290	3	
ES815570		2290	3	
ES815575		2290	3	
ES815616		2291	3	
ES815621		2291	3	
ES815624		2291	3	
ES815630		2291	3	
ES815631		2291	3	
ES815636		2291	3	
ES815645		2291	3	
ES815650		2291	3	
ES815655		2291	3	
ES815656		2291	3	
ES815185		2292	3	
ES815215		2292	3	
ES815233		2292	3	
ES815238		2292	3	
ES815257		2292	3	
ES815260		2292	3	
ES815267		2293	3	
ES815269		2293	3	
ES815272		2293	3	
ES815280		2293	3	
ES815281		2289	3	
ES815298		2287	3	
ES815303		2287	3	
ES815304		2287	3	
ES815305		2287	3	
ES815322		2287	3	
ES815323		2287	3	
ES815324		2287	3	
ES815327		2287	3	
ES815350		2290	3	
ES815356		2288	3	
ES815363		2288	3	
ES815365		2288	3	
ES815373		2288	3	
ES815380		2288	3	
ES815383		2288	3	
ES815384		2288	3	
ES815393		2288	3	
ES815395		2288	3	
ES815398		2288	3	
ES815399		2288	3	
ES815408		2288	3	
ES815425		2288	3	
ES815443		2288	3	
ES815450		2289	3	
ES815455		2289	3	
ES815463		2289	3	
ES815464		2289	3	
ES815482		2289	3	
ES815483		2289	3	
ES815484		2289	3	
ES815486		2289	3	
ES815487		2289	3	
ES815500		2289	3	
ES815501		2289	3	
ES815502		2289	3	
ES815516		2289	3	
ES815519		2289	3	
ES815526		2289	3	
ES815527		2289	3	
ES815529		2289	3	
ES815541		2290	3	
ES815543		2290	3	
ES815549		2290	3	
ES815550		2290	3	
ES815561		2290	3	
ES815572		2290	3	
ES815579		2290	3	
ES815602		2291	3	
ES815628		2291	3	
ES815182		2292	3	
ES815183		2292	3	
ES815200		2292	3	
ES815220		2292	3	
ES815231		2292	3	
ES815234		2292	3	
ES815248		2292	3	
ES815258		2292	3	
ES815278		2293	3	
ES815284		2287	3	
ES815310		2287	3	
ES815316		2287	3	
ES815326		2287	3	
ES815333		2287	3	
ES815334		2287	3	
ES815342		2287	3	
ES815370		2288	3	
ES815388		2288	3	
ES815397		2288	3	
ES815404		2288	3	
ES815406		2288	3	
ES815410		2290	3	
ES815411		2290	3	
ES815437		2288	3	
ES815444		2288	3	
ES815460		2289	3	
ES815473		2289	3	
ES815485		2289	3	
ES815493		2289	3	
ES815508		2289	3	
ES815513		2289	3	
ES815524		2289	3	
ES815540		2290	3	
ES815556		2290	3	
ES815557		2290	3	
ES815562		2290	3	
ES815563		2290	3	
ES815578		2290	3	
ES815584		2291	3	
ES815589		2291	3	
ES815592		2291	3	
ES815601		2291	3	
ES815608		2291	3	
ES815610		2291	3	
ES815622		2291	3	
ES815635		2291	3	
ES815640		2291	3	
ES815644		2291	3	
ES815654		2291	3	
ES815657		2291	3	
