STANDARD_CURVE_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ASSAY_GROUP_ID	ASSAY_ID	EXPERIMENT_ACCESSION	FORMULA	LOWER_LIMIT	LOWER_LIMIT_UNIT	RESULT_SCHEMA	UPLOAD_RESULT_STATUS	UPPER_LIMIT	UPPER_LIMIT_UNIT	WORKSPACE_ID
SC2254		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2256		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1770		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1772		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1775		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1878		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1882		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1892		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1904		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1908		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1924		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1974		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1995		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2013		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2014		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2019		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2024		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2040		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2045		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2055		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2090		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2098		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2100		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2114		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2265		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2269		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2278		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2283		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2289		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2299		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2311		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2320		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2325		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2336		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2344		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2347		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2349		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2365		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2375		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2380		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2142		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2147		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2150		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2156		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2158		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2165		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2168		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2342		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2028		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2033		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2036		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2078		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2120		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2173		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2181		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2194		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2210		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2231		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2250		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2253		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2258		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2297		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2305		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1785		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1811		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1922		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1962		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1972		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1988		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1994		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2001		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1794		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1825		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1827		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1855		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1860		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1868		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1873		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2172		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2175		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2180		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2185		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2196		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2215		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2219		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2222		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2225		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2251		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2259		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2261		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1886		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1887		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1889		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1899		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1901		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1916		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1923		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1926		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1936		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1937		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1938		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1939		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1943		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1945		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1947		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1981		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1993		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2006		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2012		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2016		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2052		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2059		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2067		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2087		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2109		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2116		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2126		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1837		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1841		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2276		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2281		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2296		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2308		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2318		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2326		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2345		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2350		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2351		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2145		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2155		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2321		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2324		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2379		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2133		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2136		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2139		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2141		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2144		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2146		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2009		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2031		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2062		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2068		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2073		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1872		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2216		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2260		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1803		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1896		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1920		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1967		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1792		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1808		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1823		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1829		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1833		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1836		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1781		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1854		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1866		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1869		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2174		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2177		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2198		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2217		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2224		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2238		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1774		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1895		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1900		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1903		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1911		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1932		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1934		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1948		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1958		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1961		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1965		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1973		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1978		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2011		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2032		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2034		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2047		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2054		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2056		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2063		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2084		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2085		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2091		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2111		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2113		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2117		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2122		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2123		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2129		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1842		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1850		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2270		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2277		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2291		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
