FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
234783	12		Qdot 605-A	PDCD1	PD-1
234783	10		AmCyan-A		L/D
234783	4		SSC-A		SSC-A
234794	19		Time		Time
232737	8		AmCyan-A	CXCR5	CXCR5
232737	16		AF 700-A	MKI67	Ki67
232737	19		PE-A		p16
232750	3		FSC-W		FSC-W
232750	2		FSC-H		FSC-H
232802	7		Pacific Blue-A	PDCD1	PD1
232802	3		FSC-W		FSC-W
232802	22		PE-Cy5-5-A	CD4	CD4
232802	18		FITC-A	CD38	CD38
232802	20		PE-TxRed-A		Foxp3
232802	6		SSC-W		SSC-W
232802	10		585/42 Violet-A	CD3E	CD3
232809	3		FSC-W		FSC-W
232809	1		FSC-A		FSC-A
232875	3		FSC-W		FSC-W
232875	16		AF 700-A	MKI67	Ki67
232875	18		FITC-A		gH2AX
232875	1		FSC-A		FSC-A
232875	15		APC-A		p21
232880	5		SSC-H		SSC-H
232880	10		585/42 Violet-A	CD3E	CD3
232881	8		AmCyan-A	CXCR5	CXCR5
232881	23		PE-Cy7-A	ICOS	ICOS
232881	5		SSC-H		SSC-H
232881	12		660/40 Violet-A	CD4	CD4
232881	20		PE-TxRed-A	CD28	CD28
232881	6		SSC-W		SSC-W
232909	7		Pacific Blue-A	PDCD1	PD1
232909	24		Time		Time
232909	22		PE-Cy5-5-A	CD4	CD4
232909	4		SSC-A		SSC-A
232909	9		560/40 Violet-A	CD8A	CD8
232937	5		SSC-H		SSC-H
232937	24		Time		Time
232937	3		FSC-W		FSC-W
232937	22		PE-Cy5-5-A		Foxo1
232937	14		780/60 Violet-A	CD38	CD38
232937	21		PE-Cy5-A		STK39
232954	8		AmCyan-A	CXCR5	CXCR5
232954	24		Time		Time
232954	3		FSC-W		FSC-W
232954	20		PE-TxRed-A	CD28	CD28
232954	15		APC-A		p21
232954	4		SSC-A		SSC-A
232982	7		Pacific Blue-A	PDCD1	PD1
232982	6		SSC-W		SSC-W
232987	14		780/60 Violet-A	CTLA4	CTLA4
233036	16		AF 700-A	MKI67	Ki67
234716	17		PE-Cy7-A	IGHD	IgD
234716	11		Qdot 565-A	CD20	CD20
234746	11		Qdot 565-A	CD20	CD20
234750	2		FSC-H		FSC-H
234784	18		APC-Cy7-A	IGHM	IgM
234787	9		Pacific Blue-A		CD3/CD14
234787	13		Qdot 655-A	CD19	CD19
234788	11		Qdot 565-A	CD20	CD20
234788	4		SSC-A		SSC-A
234791	7		FITC-A	FOXP3	FoxP3
234791	16		PE-Gr-A		ICOS ligand
234791	14		Qdot 800-A	CD27	CD27
234791	11		Qdot 565-A	CD20	CD20
232877	9		560/40 Violet-A	CD8A	CD8
232907	9		560/40 Violet-A	CD8A	CD8
232907	12		660/40 Violet-A	CD4	CD4
232944	16		AF 700-A	MKI67	Ki67
232944	22		PE-Cy5-5-A		Foxo1
232945	17		APC-Cy7-A		CD14-16-19dead
232945	20		PE-TxRed-A		Foxp3
233039	12		660/40 Violet-A	CD4	CD4
233060	9		560/40 Violet-A	CD8A	CD8
233060	17		APC-Cy7-A		CD14-16-19dead
233060	6		SSC-W		SSC-W
233062	9		560/40 Violet-A	CD8A	CD8
233062	24		Time		Time
233062	3		FSC-W		FSC-W
233062	18		FITC-A		gH2AX
232747	17		APC-Cy7-A		CD14-16-19dead
232747	22		PE-Cy5-5-A	CD4	CD4
232747	2		FSC-H		FSC-H
232747	14		780/60 Violet-A	CTLA4	CTLA4
232850	9		560/40 Violet-A	CD8A	CD8
232850	22		PE-Cy5-5-A	CD4	CD4
232850	10		585/42 Violet-A	CD3E	CD3
232839	15		APC-A		p21
232839	10		585/42 Violet-A	CD3E	CD3
232839	19		PE-A		p16
232839	23		PE-Cy7-A	ICOS	ICOS
232843	17		APC-Cy7-A		CD14-16-19dead
232843	20		PE-TxRed-A		Foxp3
232849	7		Pacific Blue-A	PDCD1	PD1
232849	24		Time		Time
232971	6		SSC-W		SSC-W
