EXPSAMPLE_ACCESSION	REPOSITORY_ACCESSION	REPOSITORY_NAME
ES718039	GSM745391	GEO
ES718040	GSM745333	GEO
ES718047	GSM745261	GEO
ES718061	GSM745260	GEO
ES718063	GSM745272	GEO
ES718064	GSM745271	GEO
ES718075	GSM745131	GEO
ES718077	GSM745051	GEO
ES718078	GSM745452	GEO
ES718083	GSM745181	GEO
ES718086	GSM745161	GEO
ES718087	GSM745166	GEO
ES718204	GSM745118	GEO
ES718205	GSM745055	GEO
ES718212	GSM744946	GEO
ES718233	GSM745042	GEO
ES718236	GSM744984	GEO
ES718258	GSM744980	GEO
ES718260	GSM745006	GEO
ES823421	Not available yet	GEO
ES823422	Not available yet	GEO
ES717778	GSM744901	GEO
ES717783	GSM744898	GEO
ES717788	GSM744890	GEO
ES717805	GSM744933	GEO
ES717825	GSM744850	GEO
ES717834	GSM744863	GEO
ES717843	GSM744883	GEO
ES717845	GSM744930	GEO
ES717846	GSM744893	GEO
ES717849	GSM744926	GEO
ES717860	GSM744880	GEO
ES717863	GSM744860	GEO
ES717868	GSM744913	GEO
ES717976	GSM745234	GEO
ES717977	GSM745320	GEO
ES717982	GSM745382	GEO
ES717998	GSM745301	GEO
ES718018	GSM745331	GEO
ES718021	GSM745322	GEO
ES718023	GSM745327	GEO
ES718089	GSM745120	GEO
ES718097	GSM745069	GEO
ES718113	GSM745108	GEO
ES718128	GSM745121	GEO
ES718138	GSM745123	GEO
ES718140	GSM745072	GEO
ES718145	GSM745094	GEO
ES718148	GSM745451	GEO
ES718168	GSM745180	GEO
ES718170	GSM745114	GEO
ES718185	GSM745126	GEO
ES718197	GSM745070	GEO
ES718267	GSM745032	GEO
ES718277	GSM745027	GEO
ES718282	GSM744973	GEO
ES718288	GSM744944	GEO
ES718291	GSM745020	GEO
ES718294	GSM744954	GEO
ES718307	GSM745035	GEO
ES718312	GSM745009	GEO
ES717880	GSM744920	GEO
ES717881	GSM744844	GEO
ES717882	GSM744887	GEO
ES717884	GSM745292	GEO
ES717890	GSM745239	GEO
ES717908	GSM745359	GEO
ES717910	GSM745349	GEO
ES717915	GSM745228	GEO
ES717930	GSM745356	GEO
ES717947	GSM745351	GEO
ES717953	GSM745367	GEO
ES717958	GSM745247	GEO
ES717963	GSM745376	GEO
ES718031	GSM745275	GEO
ES718033	GSM745267	GEO
ES718037	GSM745329	GEO
ES718044	GSM745277	GEO
ES718045	GSM745330	GEO
ES718053	GSM745395	GEO
ES718074	GSM745450	GEO
ES718076	GSM745065	GEO
ES718080	GSM745454	GEO
ES718088	GSM745182	GEO
ES718207	GSM745147	GEO
ES718213	GSM744961	GEO
ES718222	GSM745026	GEO
ES718224	GSM744971	GEO
ES718266	GSM744966	GEO
ES823413	Not available yet	GEO
ES823424	Not available yet	GEO
ES823425	Not available yet	GEO
ES823429	Not available yet	GEO
ES717794	GSM744929	GEO
ES717818	GSM744853	GEO
ES717831	GSM744912	GEO
ES717836	GSM744932	GEO
ES717837	GSM744924	GEO
ES717848	GSM744855	GEO
ES717971	GSM745385	GEO
ES717972	GSM745237	GEO
ES717985	GSM745311	GEO
ES717988	GSM745249	GEO
ES718004	GSM745386	GEO
ES718009	GSM745250	GEO
ES718025	GSM745336	GEO
ES718090	GSM745157	GEO
ES718093	GSM745085	GEO
ES718095	GSM745152	GEO
ES718116	GSM745138	GEO
ES718124	GSM745102	GEO
ES718127	GSM745082	GEO
ES718142	GSM745174	GEO
ES718171	GSM745169	GEO
ES718176	GSM745104	GEO
ES718194	GSM745455	GEO
ES718274	GSM744951	GEO
ES718275	GSM744948	GEO
ES718278	GSM745041	GEO
ES718290	GSM745046	GEO
ES718304	GSM745023	GEO
ES718315	GSM744997	GEO
ES717879	GSM744896	GEO
ES717887	GSM745229	GEO
ES717900	GSM745291	GEO
ES717907	GSM745240	GEO
ES717916	GSM745230	GEO
ES717920	GSM745364	GEO
ES717922	GSM745231	GEO
ES717933	GSM745279	GEO
ES717937	GSM745243	GEO
ES717941	GSM745227	GEO
ES717944	GSM745288	GEO
ES717965	GSM745370	GEO
ES718035	GSM745276	GEO
ES718051	GSM745339	GEO
ES718066	GSM745341	GEO
ES718072	GSM745129	GEO
ES718210	GSM745091	GEO
ES718227	GSM744981	GEO
ES718228	GSM745043	GEO
ES718238	GSM745013	GEO
ES718240	GSM744945	GEO
ES718242	GSM745010	GEO
ES718249	GSM744992	GEO
ES718257	GSM744967	GEO
ES718262	GSM744998	GEO
ES718263	GSM745011	GEO
ES823426	Not available yet	GEO
ES717776	GSM744868	GEO
ES717777	GSM744934	GEO
ES717779	GSM744835	GEO
ES717784	GSM744874	GEO
ES717787	GSM744872	GEO
ES717798	GSM744854	GEO
ES717810	GSM744846	GEO
ES717811	GSM744869	GEO
ES717812	GSM744891	GEO
ES717819	GSM744875	GEO
ES717821	GSM744922	GEO
ES717826	GSM744918	GEO
ES717829	GSM744939	GEO
ES717833	GSM744899	GEO
ES717838	GSM744864	GEO
ES717839	GSM744906	GEO
ES717854	GSM744861	GEO
ES717858	GSM744908	GEO
ES717864	GSM744910	GEO
ES717869	GSM744845	GEO
ES717984	GSM745313	GEO
ES717991	GSM745321	GEO
ES717992	GSM745302	GEO
ES718002	GSM745315	GEO
ES718007	GSM745254	GEO
ES718008	GSM745308	GEO
ES718019	GSM745344	GEO
ES718098	GSM745148	GEO
ES718099	GSM745077	GEO
ES718105	GSM745062	GEO
ES718106	GSM745179	GEO
ES718108	GSM745049	GEO
ES718109	GSM745125	GEO
ES718115	GSM745449	GEO
ES718126	GSM745160	GEO
ES718134	GSM745054	GEO
ES718137	GSM745079	GEO
ES718151	GSM745060	GEO
ES718155	GSM745133	GEO
ES718161	GSM745078	GEO
ES718162	GSM745155	GEO
ES718173	GSM745154	GEO
ES718174	GSM745132	GEO
ES718180	GSM745122	GEO
ES718191	GSM745140	GEO
ES718192	GSM745150	GEO
ES718268	GSM745031	GEO
ES718273	GSM745018	GEO
ES718279	GSM744969	GEO
ES718280	GSM745039	GEO
ES718281	GSM745017	GEO
ES718293	GSM744949	GEO
ES718309	GSM744975	GEO
ES718317	GSM745028	GEO
ES717873	GSM744895	GEO
ES717874	GSM744838	GEO
ES717883	GSM745220	GEO
ES717906	GSM745295	GEO
ES717917	GSM745283	GEO
ES717919	GSM745282	GEO
ES717921	GSM745221	GEO
ES717925	GSM745223	GEO
ES717940	GSM745216	GEO
ES717946	GSM745242	GEO
ES717950	GSM745383	GEO
ES717962	GSM745305	GEO
ES717966	GSM745317	GEO
ES717967	GSM745319	GEO
ES718041	GSM745262	GEO
ES718048	GSM745335	GEO
ES718050	GSM745334	GEO
ES718052	GSM745323	GEO
ES718054	GSM745338	GEO
ES718057	GSM745397	GEO
ES718058	GSM745258	GEO
ES718067	GSM745325	GEO
ES718069	GSM745107	GEO
ES718084	GSM745086	GEO
ES718085	GSM745064	GEO
ES718206	GSM745052	GEO
ES718211	GSM744952	GEO
ES718216	GSM745007	GEO
ES718225	GSM745022	GEO
ES718244	GSM744976	GEO
ES718246	GSM744963	GEO
ES718250	GSM744972	GEO
ES718252	GSM745002	GEO
ES718254	GSM744978	GEO
ES718255	GSM744987	GEO
ES718259	GSM744964	GEO
ES823415	Not available yet	GEO
ES823418	Not available yet	GEO
ES823423	Not available yet	GEO
ES717793	GSM744923	GEO
ES717796	GSM744852	GEO
ES717802	GSM744914	GEO
ES717807	GSM744847	GEO
ES717816	GSM744862	GEO
ES717823	GSM744879	GEO
ES717841	GSM744871	GEO
ES717853	GSM744911	GEO
ES717862	GSM744907	GEO
ES717970	GSM745246	GEO
ES717974	GSM745304	GEO
ES717978	GSM745248	GEO
ES717990	GSM745238	GEO
ES717996	GSM745371	GEO
ES718013	GSM745328	GEO
ES718022	GSM745259	GEO
ES718028	GSM745274	GEO
ES718029	GSM745377	GEO
ES718110	GSM745146	GEO
ES718121	GSM745128	GEO
ES718122	GSM745453	GEO
ES718123	GSM745142	GEO
ES718129	GSM745124	GEO
ES718149	GSM745053	GEO
ES718153	GSM745098	GEO
ES718159	GSM745171	GEO
ES718165	GSM745074	GEO
ES718166	GSM745087	GEO
ES718172	GSM745130	GEO
ES718178	GSM745110	GEO
ES718184	GSM745092	GEO
ES718196	GSM745109	GEO
ES718286	GSM744956	GEO
ES718292	GSM744991	GEO
ES718296	GSM744982	GEO
ES718311	GSM745029	GEO
ES717872	GSM744849	GEO
ES717875	GSM744889	GEO
ES717885	GSM745236	GEO
ES717886	GSM745357	GEO
ES717888	GSM745280	GEO
ES717896	GSM745290	GEO
ES717902	GSM745350	GEO
ES717903	GSM745286	GEO
ES717934	GSM745215	GEO
ES717942	GSM745241	GEO
ES717951	GSM745253	GEO
ES717954	GSM745310	GEO
ES717956	GSM745369	GEO
ES717960	GSM745299	GEO
ES718032	GSM745396	GEO
ES718034	GSM745337	GEO
ES718055	GSM745256	GEO
ES718060	GSM745257	GEO
ES718062	GSM745332	GEO
ES718070	GSM745111	GEO
ES718071	GSM745151	GEO
ES718201	GSM745067	GEO
ES718209	GSM745075	GEO
ES718217	GSM745021	GEO
ES718239	GSM745019	GEO
ES718245	GSM744947	GEO
ES718251	GSM744968	GEO
ES718256	GSM745008	GEO
ES718265	GSM745014	GEO
ES823417	Not available yet	GEO
ES823419	Not available yet	GEO
ES823428	Not available yet	GEO
ES717780	GSM744842	GEO
ES717786	GSM744839	GEO
ES717789	GSM744866	GEO
ES717792	GSM744886	GEO
ES717795	GSM744916	GEO
ES717799	GSM744915	GEO
ES717800	GSM744935	GEO
ES717803	GSM744856	GEO
ES717806	GSM744867	GEO
ES717820	GSM744936	GEO
ES717822	GSM744931	GEO
ES717824	GSM744917	GEO
ES717852	GSM744925	GEO
ES717855	GSM744840	GEO
ES717857	GSM744894	GEO
ES717861	GSM744928	GEO
ES717865	GSM744848	GEO
ES717981	GSM745255	GEO
ES717986	GSM745289	GEO
ES717994	GSM745374	GEO
ES718012	GSM745270	GEO
ES718091	GSM745101	GEO
ES718092	GSM745153	GEO
ES718094	GSM745149	GEO
ES718104	GSM745106	GEO
ES718107	GSM745141	GEO
ES718118	GSM745057	GEO
ES718119	GSM745164	GEO
ES718131	GSM745096	GEO
ES718133	GSM745127	GEO
ES718135	GSM745173	GEO
ES718150	GSM745097	GEO
ES718152	GSM745084	GEO
ES718156	GSM745165	GEO
ES718157	GSM745080	GEO
ES718163	GSM745139	GEO
ES718169	GSM745071	GEO
ES718181	GSM745115	GEO
ES718182	GSM745137	GEO
ES718186	GSM745119	GEO
ES718188	GSM745089	GEO
ES718189	GSM745175	GEO
ES718190	GSM745117	GEO
ES718271	GSM744955	GEO
ES718276	GSM744960	GEO
ES718305	GSM744977	GEO
ES717870	GSM744881	GEO
ES717876	GSM744841	GEO
ES717898	GSM745245	GEO
ES717899	GSM745287	GEO
ES717904	GSM745361	GEO
ES717909	GSM745293	GEO
ES717924	GSM745352	GEO
ES717929	GSM745233	GEO
ES717969	GSM745378	GEO
ES718030	GSM745340	GEO
ES718036	GSM745326	GEO
ES718049	GSM745269	GEO
ES718215	GSM745048	GEO
ES718220	GSM744974	GEO
ES718223	GSM744970	GEO
ES718231	GSM744957	GEO
ES718232	GSM745025	GEO
ES718234	GSM744950	GEO
ES718235	GSM745016	GEO
ES718264	GSM744942	GEO
ES823414	Not available yet	GEO
ES823427	Not available yet	GEO
ES717809	GSM744905	GEO
ES717817	GSM744836	GEO
ES717828	GSM744904	GEO
ES717835	GSM744909	GEO
ES717867	GSM744865	GEO
ES717979	GSM745306	GEO
ES717987	GSM745379	GEO
ES717989	GSM745309	GEO
ES717995	GSM745365	GEO
ES718000	GSM745235	GEO
ES718011	GSM745392	GEO
ES718014	GSM745388	GEO
ES718015	GSM745265	GEO
ES718016	GSM745264	GEO
ES718026	GSM745278	GEO
ES718100	GSM745103	GEO
ES718103	GSM745158	GEO
ES718111	GSM745076	GEO
ES718112	GSM745099	GEO
ES718114	GSM745093	GEO
ES718125	GSM745113	GEO
ES718132	GSM745145	GEO
ES718144	GSM745112	GEO
ES718158	GSM745050	GEO
ES718167	GSM745063	GEO
ES718175	GSM745081	GEO
ES718187	GSM745056	GEO
ES718195	GSM745167	GEO
ES718198	GSM745448	GEO
ES718199	GSM745176	GEO
ES718269	GSM745038	GEO
ES718283	GSM744962	GEO
ES718298	GSM744995	GEO
ES718300	GSM745015	GEO
ES718302	GSM744990	GEO
ES718303	GSM745040	GEO
ES718306	GSM744988	GEO
ES718314	GSM745044	GEO
ES717878	GSM744884	GEO
ES717893	GSM745222	GEO
ES717897	GSM745362	GEO
ES717905	GSM745296	GEO
ES717911	GSM745346	GEO
ES717913	GSM745225	GEO
ES717923	GSM745358	GEO
ES717926	GSM745345	GEO
ES717927	GSM745226	GEO
ES717931	GSM745354	GEO
ES717932	GSM745353	GEO
ES717935	GSM745217	GEO
ES717939	GSM745219	GEO
ES717952	GSM745355	GEO
ES717955	GSM745314	GEO
ES717959	GSM745384	GEO
ES717961	GSM745303	GEO
ES717964	GSM745372	GEO
ES718042	GSM745343	GEO
ES718043	GSM745393	GEO
ES718046	GSM745342	GEO
ES718056	GSM745394	GEO
ES718059	GSM745324	GEO
ES718065	GSM745389	GEO
ES718068	GSM745136	GEO
ES718082	GSM745143	GEO
