BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION
BS752706	ES834871	EXP13921
BS752707	ES834880	EXP13921
BS752708	ES848173	EXP13922
BS752709	ES848180	EXP13922
BS752709	ES848178	EXP13922
BS769823	ES850722	EXP13950
BS769823	ES850721	EXP13950
BS769824	ES850727	EXP13950
BS769827	ES850752	EXP13950
BS769833	ES850792	EXP13950
BS769836	ES850815	EXP13950
BS769837	ES850822	EXP13950
BS769840	ES850828	EXP13950
BS769843	ES850844	EXP13950
BS769844	ES850850	EXP13950
BS769847	ES851197	EXP13950
BS769849	ES850880	EXP13950
BS769853	ES850903	EXP13950
BS769857	ES851215	EXP13950
BS769861	ES850951	EXP13950
BS769862	ES850957	EXP13950
BS769863	ES851221	EXP13950
BS769864	ES851227	EXP13950
BS769873	ES851251	EXP13950
BS769879	ES851067	EXP13950
BS769883	ES851095	EXP13950
BS769886	ES851316	EXP13950
