BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION
BS752265	ES851217	EXP13950
BS752267	ES850935	EXP13950
BS752267	ES833810	EXP13915
BS752270	ES833813	EXP13915
BS752273	ES833816	EXP13915
BS752275	ES833818	EXP13915
BS752277	ES851223	EXP13950
BS752277	ES851222	EXP13950
BS752278	ES833821	EXP13915
BS752280	ES850973	EXP13950
BS752281	ES851234	EXP13950
BS752282	ES850981	EXP13950
BS752282	ES850980	EXP13950
BS752283	ES850985	EXP13950
BS752288	ES833831	EXP13915
BS752290	ES833833	EXP13915
BS752290	ES851007	EXP13950
BS752293	ES833836	EXP13915
BS752296	ES833839	EXP13915
BS752297	ES833840	EXP13915
BS752297	ES851253	EXP13950
BS752300	ES833843	EXP13915
BS752300	ES851036	EXP13950
BS752304	ES851258	EXP13950
BS752306	ES851280	EXP13950
BS752306	ES851052	EXP13950
BS752307	ES851284	EXP13950
BS752307	ES851057	EXP13950
BS752307	ES851056	EXP13950
BS752309	ES851267	EXP13950
BS752310	ES851064	EXP13950
BS752311	ES851069	EXP13950
BS752314	ES851287	EXP13950
BS752316	ES851081	EXP13950
BS752318	ES851087	EXP13950
BS752319	ES851091	EXP13950
BS752320	ES851296	EXP13950
BS752322	ES833865	EXP13915
BS752325	ES851109	EXP13950
BS752327	ES851114	EXP13950
BS752327	ES851319	EXP13950
BS752327	ES851318	EXP13950
BS752328	ES833871	EXP13915
BS752328	ES851116	EXP13950
BS752330	ES851122	EXP13950
BS752331	ES851127	EXP13950
BS752331	ES851126	EXP13950
BS752332	ES851321	EXP13950
BS752333	ES851324	EXP13950
BS752335	ES851138	EXP13950
BS752341	ES851156	EXP13950
BS752345	ES833888	EXP13915
BS752348	ES833891	EXP13915
BS752663	ES848438	EXP13922
BS752664	ES847983	EXP13922
BS752664	ES847979	EXP13922
BS752665	ES847987	EXP13922
BS752665	ES847985	EXP13922
BS752665	ES834586	EXP13921
BS752666	ES834596	EXP13921
BS752666	ES834593	EXP13921
BS752666	ES848326	EXP13922
BS752667	ES834604	EXP13921
BS752668	ES848338	EXP13922
BS752669	ES848342	EXP13922
BS752671	ES847993	EXP13922
BS752672	ES847997	EXP13922
BS752672	ES834635	EXP13921
BS752672	ES834634	EXP13921
BS752673	ES834646	EXP13921
BS752673	ES834642	EXP13921
BS752674	ES848360	EXP13922
BS752674	ES834650	EXP13921
BS752674	ES834647	EXP13921
BS752676	ES848368	EXP13922
BS752676	ES848366	EXP13922
BS752677	ES848369	EXP13922
BS752677	ES834668	EXP13921
BS752679	ES848382	EXP13922
BS752679	ES834686	EXP13921
BS752680	ES834692	EXP13921
BS752680	ES834689	EXP13921
BS752681	ES848020	EXP13922
BS752681	ES834699	EXP13921
BS752681	ES834698	EXP13921
BS752682	ES848025	EXP13922
BS752682	ES848024	EXP13922
BS752682	ES834704	EXP13921
BS752683	ES848027	EXP13922
BS752684	ES834721	EXP13921
BS752688	ES834751	EXP13921
BS752688	ES834747	EXP13921
BS752689	ES848061	EXP13922
BS752689	ES848059	EXP13922
BS752689	ES834756	EXP13921
BS752689	ES834752	EXP13921
BS752690	ES848066	EXP13922
BS752690	ES848065	EXP13922
BS752691	ES834770	EXP13921
BS752692	ES834778	EXP13921
BS752693	ES848084	EXP13922
BS752694	ES848088	EXP13922
BS752694	ES848087	EXP13922
BS752695	ES834799	EXP13921
BS752695	ES848093	EXP13922
BS752696	ES834807	EXP13921
BS752696	ES848101	EXP13922
BS752697	ES834809	EXP13921
BS752697	ES848107	EXP13922
BS752699	ES848119	EXP13922
BS752700	ES848126	EXP13922
BS752701	ES834841	EXP13921
BS752701	ES834838	EXP13921
BS752701	ES834836	EXP13921
BS752702	ES834846	EXP13921
BS752702	ES834843	EXP13921
BS752704	ES834860	EXP13921
BS752705	ES834868	EXP13921
BS752705	ES848153	EXP13922
BS752707	ES834878	EXP13921
BS752708	ES834888	EXP13921
BS752708	ES834887	EXP13921
BS752709	ES848182	EXP13922
BS769825	ES851167	EXP13950
BS769826	ES850740	EXP13950
BS769827	ES850753	EXP13950
BS769828	ES850761	EXP13950
BS769832	ES850785	EXP13950
BS769840	ES850827	EXP13950
BS769841	ES851179	EXP13950
BS769845	ES850856	EXP13950
BS769846	ES850861	EXP13950
BS769847	ES850868	EXP13950
BS769847	ES851196	EXP13950
BS769855	ES850915	EXP13950
BS769862	ES850958	EXP13950
BS769864	ES850970	EXP13950
BS769865	ES850975	EXP13950
BS769865	ES851233	EXP13950
BS769866	ES850983	EXP13950
BS769866	ES851238	EXP13950
BS769870	ES851008	EXP13950
BS769874	ES851276	EXP13950
BS769880	ES851271	EXP13950
BS769881	ES851293	EXP13950
BS769888	ES851124	EXP13950
BS769889	ES851131	EXP13950
BS769892	ES851149	EXP13950
BS752710	ES834904	EXP13921
BS752710	ES834899	EXP13921
BS752710	ES848193	EXP13922
BS752711	ES834911	EXP13921
BS752712	ES834913	EXP13921
BS752712	ES848205	EXP13922
BS752713	ES834922	EXP13921
BS752713	ES848212	EXP13922
BS752714	ES848216	EXP13922
BS752714	ES848215	EXP13922
BS752715	ES848221	EXP13922
BS752716	ES834947	EXP13921
BS752716	ES834941	EXP13921
BS752717	ES834949	EXP13921
BS752717	ES848234	EXP13922
BS752718	ES834960	EXP13921
BS752719	ES848248	EXP13922
BS752719	ES848243	EXP13922
BS752720	ES834974	EXP13921
BS752720	ES834971	EXP13921
BS752720	ES834969	EXP13921
BS752722	ES834988	EXP13921
BS752722	ES834985	EXP13921
BS752726	ES835017	EXP13921
BS752726	ES835012	EXP13921
BS752727	ES835021	EXP13921
BS752727	ES848291	EXP13922
BS752728	ES848302	EXP13922
BS752728	ES848299	EXP13922
BS752729	ES848303	EXP13922
BS752730	ES835040	EXP13921
BS752730	ES848312	EXP13922
BS752732	ES848397	EXP13922
BS752732	ES848395	EXP13922
BS752733	ES835064	EXP13921
BS752733	ES835062	EXP13921
BS752736	ES848455	EXP13922
BS752736	ES848441	EXP13922
BS752736	ES848415	EXP13922
BS752736	ES848407	EXP13922
BS752201	ES850723	EXP13950
BS752204	ES850731	EXP13950
BS752205	ES850735	EXP13950
BS752210	ES850749	EXP13950
BS752212	ES833755	EXP13915
BS752216	ES850772	EXP13950
BS752218	ES851171	EXP13950
BS752219	ES850781	EXP13950
BS752219	ES851174	EXP13950
BS752221	ES850788	EXP13950
BS752225	ES850804	EXP13950
BS752227	ES850812	EXP13950
BS752228	ES833771	EXP13915
BS752231	ES850823	EXP13950
BS752231	ES850818	EXP13950
BS752232	ES850829	EXP13950
BS752233	ES850834	EXP13950
BS752233	ES851181	EXP13950
BS752235	ES850840	EXP13950
BS752241	ES851192	EXP13950
BS752244	ES850866	EXP13950
BS752245	ES850869	EXP13950
BS752245	ES833788	EXP13915
BS752247	ES850875	EXP13950
BS752250	ES833793	EXP13915
BS752255	ES850900	EXP13950
BS752255	ES851204	EXP13950
BS752256	ES850902	EXP13950
BS752257	ES850905	EXP13950
BS752260	ES850914	EXP13950
BS752260	ES833803	EXP13915
BS752261	ES850918	EXP13950
BS752261	ES833804	EXP13915
BS752262	ES833805	EXP13915
BS752269	ES850942	EXP13950
BS752269	ES833812	EXP13915
BS752270	ES850944	EXP13950
BS752271	ES833814	EXP13915
BS752272	ES850949	EXP13950
BS752274	ES850955	EXP13950
BS752276	ES850962	EXP13950
BS752279	ES850972	EXP13950
BS752279	ES851228	EXP13950
BS752282	ES851237	EXP13950
BS752283	ES850986	EXP13950
BS752287	ES833830	EXP13915
BS752288	ES851000	EXP13950
BS752289	ES833832	EXP13915
BS752291	ES851010	EXP13950
BS752292	ES851242	EXP13950
BS752296	ES851248	EXP13950
BS752298	ES851030	EXP13950
BS752299	ES851278	EXP13950
BS752302	ES833845	EXP13915
BS752303	ES851256	EXP13950
BS752306	ES833849	EXP13915
BS752307	ES851285	EXP13950
BS752310	ES833853	EXP13915
BS752311	ES851068	EXP13950
BS752312	ES851071	EXP13950
BS752312	ES851070	EXP13950
BS752314	ES851077	EXP13950
BS752314	ES851076	EXP13950
BS752315	ES833858	EXP13915
BS752317	ES851085	EXP13950
BS752317	ES851084	EXP13950
BS752323	ES851102	EXP13950
BS752324	ES851309	EXP13950
BS752325	ES851108	EXP13950
BS752332	ES851320	EXP13950
BS752334	ES851135	EXP13950
BS752334	ES851327	EXP13950
BS752336	ES851140	EXP13950
BS752337	ES851144	EXP13950
BS752346	ES833889	EXP13915
BS752663	ES848439	EXP13922
BS752664	ES834583	EXP13921
BS752666	ES848325	EXP13922
BS752668	ES848333	EXP13922
BS752669	ES834617	EXP13921
BS752669	ES834615	EXP13921
BS752669	ES834612	EXP13921
BS752670	ES848350	EXP13922
BS752670	ES848349	EXP13922
BS752670	ES848345	EXP13922
BS752670	ES834623	EXP13921
BS752672	ES848001	EXP13922
BS752672	ES834637	EXP13921
BS752672	ES834636	EXP13921
BS752672	ES834633	EXP13921
BS752673	ES848355	EXP13922
BS752673	ES848353	EXP13922
BS752673	ES834641	EXP13921
BS752674	ES834648	EXP13921
BS752675	ES848004	EXP13922
BS752676	ES848367	EXP13922
BS752676	ES848363	EXP13922
BS752676	ES834665	EXP13921
BS752677	ES834672	EXP13921
BS752678	ES848375	EXP13922
BS752678	ES834681	EXP13921
BS752679	ES848384	EXP13922
BS752679	ES834688	EXP13921
BS752679	ES834687	EXP13921
BS752680	ES834694	EXP13921
BS752681	ES848017	EXP13922
BS752681	ES834702	EXP13921
BS752682	ES848021	EXP13922
BS752683	ES848032	EXP13922
BS752683	ES848031	EXP13922
BS752683	ES834712	EXP13921
BS752684	ES848034	EXP13922
BS752685	ES848044	EXP13922
BS752685	ES848041	EXP13922
BS752685	ES834730	EXP13921
BS752686	ES848050	EXP13922
BS752686	ES848049	EXP13922
BS752686	ES834736	EXP13921
BS752689	ES848062	EXP13922
BS752689	ES848058	EXP13922
BS752690	ES848064	EXP13922
BS752691	ES848069	EXP13922
BS752691	ES834769	EXP13921
BS752692	ES848077	EXP13922
BS752693	ES848082	EXP13922
BS752693	ES848081	EXP13922
BS752694	ES834791	EXP13921
BS752694	ES834787	EXP13921
BS752694	ES848092	EXP13922
BS752694	ES848089	EXP13922
BS752695	ES834795	EXP13921
BS752695	ES848096	EXP13922
BS752696	ES848103	EXP13922
BS752696	ES848102	EXP13922
BS752697	ES848110	EXP13922
BS752697	ES848105	EXP13922
BS752698	ES834820	EXP13921
BS752698	ES834817	EXP13921
BS752698	ES834816	EXP13921
BS752698	ES834815	EXP13921
BS752698	ES848112	EXP13922
BS752699	ES834823	EXP13921
BS752699	ES848121	EXP13922
BS752699	ES848118	EXP13922
BS752700	ES834835	EXP13921
BS752700	ES834833	EXP13921
BS752700	ES834832	EXP13921
BS752700	ES848123	EXP13922
