EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	DILUTION_FACTOR	PLATE_TYPE	WORKSPACE_ID
ES851185	EXP13950	H51-1	364	1		2883
ES851193	EXP13950	H51-1	364	1		2883
ES851199	EXP13950	H51-1	364	1		2883
ES851202	EXP13950	H51-1	364	1		2883
ES851203	EXP13950	H51-1	364	1		2883
ES851204	EXP13950	H51-1	364	1		2883
ES851207	EXP13950	H51-1	364	1		2883
ES851217	EXP13950	H51-1	364	1		2883
ES851225	EXP13950	H51-1	364	1		2883
ES851236	EXP13950	H51-1	364	1		2883
ES851238	EXP13950	H51-1	364	1		2883
ES851245	EXP13950	H51-1	364	1		2883
ES851254	EXP13950	H51-1	366	1		2883
ES851263	EXP13950	H51-1	366	1		2883
ES851271	EXP13950	H51-1	366	1		2883
ES851274	EXP13950	H51-1	366	1		2883
ES851311	EXP13950	H51-1	366	1		2883
ES851316	EXP13950	H51-1	366	1		2883
ES851324	EXP13950	H51-1	366	1		2883
ES851086	EXP13950	H51-2	2781	3		2883
ES851088	EXP13950	H51-2	2781	3		2883
ES851102	EXP13950	H51-2	2781	3		2883
ES851103	EXP13950	H51-2	2781	3		2883
ES851120	EXP13950	H51-2	2782	1		2883
ES851135	EXP13950	H51-2	2780	3		2883
ES851137	EXP13950	H51-2	2780	3		2883
ES851139	EXP13950	H51-2	2780	3		2883
ES851150	EXP13950	H51-2	2780	3		2883
ES851153	EXP13950	H51-2	2782	1		2883
ES851156	EXP13950	H51-2	2782	1		2883
ES850722	EXP13950	H51-2	2777	3		2883
ES850734	EXP13950	H51-2	2778	3		2883
ES850736	EXP13950	H51-2	2778	3		2883
ES850738	EXP13950	H51-2	2777	3		2883
ES850741	EXP13950	H51-2	2777	3		2883
ES850749	EXP13950	H51-2	2777	3		2883
ES850756	EXP13950	H51-2	2782	1		2883
ES850757	EXP13950	H51-2	2777	3		2883
ES850760	EXP13950	H51-2	2777	3		2883
ES850788	EXP13950	H51-2	2777	3		2883
ES850803	EXP13950	H51-2	2782	1		2883
ES850820	EXP13950	H51-2	2780	3		2883
ES850834	EXP13950	H51-2	2778	3		2883
ES850847	EXP13950	H51-2	2778	3		2883
ES850857	EXP13950	H51-2	2778	3		2883
ES850865	EXP13950	H51-2	2778	3		2883
