FCS File Name,fcs_file_name,expsample_accession,study_time_collected,type,biosample_accession,name..7,file_info_id,measurement_technique
export_222_pre 7.727461.fcs,export_222_pre 7.fcs,ES1230626,-7,PBMC,BS807917,09-H1-0239 flow cytometry B2,727461,Flow Cytometry
export_224_pre 7.727462.fcs,export_224_pre 7.fcs,ES1230627,-7,PBMC,BS807922,09-H1-0239 flow cytometry B2,727462,Flow Cytometry
export_227_pre 7.727463.fcs,export_227_pre 7.fcs,ES1230628,-7,PBMC,BS807927,09-H1-0239 flow cytometry B2,727463,Flow Cytometry
export_228_pre 7.727464.fcs,export_228_pre 7.fcs,ES1230629,-7,PBMC,BS807932,09-H1-0239 flow cytometry B2,727464,Flow Cytometry
export_229_pre 7.727465.fcs,export_229_pre 7.fcs,ES1230630,-7,PBMC,BS807937,09-H1-0239 flow cytometry B2,727465,Flow Cytometry
export_230_pre 7.727466.fcs,export_230_pre 7.fcs,ES1230631,-7,PBMC,BS807942,09-H1-0239 flow cytometry B2,727466,Flow Cytometry
export_231_pre 7.727467.fcs,export_231_pre 7.fcs,ES1230632,-7,PBMC,BS807946,09-H1-0239 flow cytometry B2,727467,Flow Cytometry
export_232_pre 7.727468.fcs,export_232_pre 7.fcs,ES1230633,-7,PBMC,BS807950,09-H1-0239 flow cytometry B2,727468,Flow Cytometry
export_233_pre 7.727469.fcs,export_233_pre 7.fcs,ES1230634,-7,PBMC,BS807954,09-H1-0239 flow cytometry B2,727469,Flow Cytometry
export_234_pre 7.727470.fcs,export_234_pre 7.fcs,ES1230635,-7,PBMC,BS807958,09-H1-0239 flow cytometry B2,727470,Flow Cytometry
export_235_pre 7.727471.fcs,export_235_pre 7.fcs,ES1230636,-7,PBMC,BS807961,09-H1-0239 flow cytometry B2,727471,Flow Cytometry
export_236_pre 7.727472.fcs,export_236_pre 7.fcs,ES1230637,-7,PBMC,BS807964,09-H1-0239 flow cytometry B2,727472,Flow Cytometry
export_237_pre 7.727473.fcs,export_237_pre 7.fcs,ES1230638,-7,PBMC,BS807969,09-H1-0239 flow cytometry B2,727473,Flow Cytometry
export_241_pre 7.727474.fcs,export_241_pre 7.fcs,ES1230639,-7,PBMC,BS807974,09-H1-0239 flow cytometry B2,727474,Flow Cytometry
export_242_pre 7.727475.fcs,export_242_pre 7.fcs,ES1230640,-7,PBMC,BS807979,09-H1-0239 flow cytometry B2,727475,Flow Cytometry
export_249_70.728593.fcs,export_249_70.fcs,ES1231653,70,PBMC,BS808002,09-H1-0239 flow cytometry T3,728593,Flow Cytometry
export_249_pre.728594.fcs,export_249_pre.fcs,ES1231654,-7,PBMC,BS808001,09-H1-0239 flow cytometry T3,728594,Flow Cytometry
export_250_0.728595.fcs,export_250_0.fcs,ES1231655,0,PBMC,BS808003,09-H1-0239 flow cytometry T3,728595,Flow Cytometry
export_250_1.728596.fcs,export_250_1.fcs,ES1231656,1,PBMC,BS808004,09-H1-0239 flow cytometry T3,728596,Flow Cytometry
export_250_7.728597.fcs,export_250_7.fcs,ES1231657,7,PBMC,BS808005,09-H1-0239 flow cytometry T3,728597,Flow Cytometry
export_250_70.728598.fcs,export_250_70.fcs,ES1231658,70,PBMC,BS808006,09-H1-0239 flow cytometry T3,728598,Flow Cytometry
export_250_pre.728599.fcs,export_250_pre.fcs,ES1231659,7,PBMC,BS1007347,09-H1-0239 flow cytometry T3,728599,Flow Cytometry
export_251_0.728600.fcs,export_251_0.fcs,ES1231660,0,PBMC,BS808007,09-H1-0239 flow cytometry T3,728600,Flow Cytometry
