EXPSAMPLE_ACCESSION	FILE_INFO_ID	RESULT_SCHEMA
ES787048	473621	FCM
ES787039	473622	FCM
ES787048	473622	FCM
ES787045	473623	FCM
ES787042	473623	FCM
ES787058	473623	FCM
ES787055	473623	FCM
ES787059	473624	FCM
ES787050	473624	FCM
ES787047	473624	FCM
ES787055	473624	FCM
ES787043	473626	FCM
ES787048	473626	FCM
ES787044	473626	FCM
ES787044	473631	FCM
ES787052	473635	FCM
ES787051	473635	FCM
ES787047	473637	FCM
ES787049	473641	FCM
ES787059	473651	FCM
ES787060	473658	FCM
ES787060	473659	FCM
ES787064	473659	FCM
ES787062	473659	FCM
ES787066	473660	FCM
ES787061	473660	FCM
ES787066	473662	FCM
ES787060	473663	FCM
ES787065	473665	FCM
ES787062	473665	FCM
ES787061	473666	FCM
ES787061	473667	FCM
ES787063	473669	FCM
ES787065	473669	FCM
ES788347	475990	FCM
ES788363	475991	FCM
ES788337	475991	FCM
ES788352	475991	FCM
ES788351	475991	FCM
ES788346	475991	FCM
ES788382	475991	FCM
ES788361	475991	FCM
ES788367	475991	FCM
ES788342	475991	FCM
ES788364	475992	FCM
ES788350	475992	FCM
ES788382	475992	FCM
ES788380	475993	FCM
ES788361	475993	FCM
ES788363	475994	FCM
ES788335	475994	FCM
ES788371	475994	FCM
ES788352	475994	FCM
ES788349	475994	FCM
ES788339	475994	FCM
ES788334	475995	FCM
ES788348	475995	FCM
ES788382	475995	FCM
ES788378	475995	FCM
ES788368	475995	FCM
ES788344	475995	FCM
ES788336	475996	FCM
ES788334	475996	FCM
ES788353	475996	FCM
ES788352	475996	FCM
ES788361	475996	FCM
ES788341	475996	FCM
ES788335	475997	FCM
ES788380	475997	FCM
ES788355	475997	FCM
ES788354	475997	FCM
ES788365	475997	FCM
ES788341	475997	FCM
ES788336	475998	FCM
ES788347	475998	FCM
ES788379	475998	FCM
ES788377	475998	FCM
ES788345	475998	FCM
ES788342	475998	FCM
ES788341	475998	FCM
ES788371	475999	FCM
ES788346	475999	FCM
ES788377	475999	FCM
ES788358	475999	FCM
ES788356	475999	FCM
ES788352	476000	FCM
ES788381	476000	FCM
ES788359	476000	FCM
ES788358	476000	FCM
ES788365	476000	FCM
ES788342	476000	FCM
ES788337	476001	FCM
ES788336	476001	FCM
ES788373	476001	FCM
ES788372	476001	FCM
