EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES779697	TRT1338
ES779700	TRT1338
ES783585	TRT1338
ES783592	TRT1338
ES783597	TRT1338
ES783601	TRT1338
ES783607	TRT1338
ES783608	TRT1338
ES783610	TRT1338
ES783614	TRT1338
ES783618	TRT1338
ES783626	TRT1338
ES783635	TRT1338
ES783638	TRT1338
ES783642	TRT1338
ES783656	TRT1338
ES783657	TRT1338
ES783659	TRT1338
ES784332	TRT1338
ES784343	TRT1338
ES784344	TRT1338
ES784350	TRT1338
ES784367	TRT1338
ES784373	TRT1338
ES779400	TRT1338
ES779417	TRT1338
ES779419	TRT1338
ES779421	TRT1338
ES779422	TRT1338
ES779433	TRT1338
ES779445	TRT1338
ES779469	TRT1338
