BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS910358	ES1035700
BS910359	ES1036079
BS910359	ES1035323
BS910360	ES1035702
BS910361	ES1036081
BS910362	ES1035326
BS910364	ES1035706
BS910365	ES1035707
BS910366	ES1035897
BS910367	ES1035898
BS910367	ES1035331
BS910369	ES1036467
BS910373	ES1035904
BS910373	ES1035337
BS910374	ES1036094
BS910374	ES1035527
BS910375	ES1035717
BS910375	ES1035339
BS910376	ES1036096
BS910377	ES1036475
BS910379	ES1036477
BS910379	ES1035532
BS910379	ES1035343
BS910380	ES1035344
BS910380	ES1036667
BS910381	ES1035912
BS910381	ES1036290
BS910381	ES1035723
BS910382	ES1036480
BS910382	ES1035346
BS910384	ES1036482
BS910385	ES1036483
BS910385	ES1036294
BS910386	ES1035917
BS910386	ES1036106
BS910386	ES1035728
BS910388	ES1035730
BS910389	ES1036109
BS910389	ES1035353
BS910391	ES1036300
BS910391	ES1035355
BS910391	ES1036678
BS910392	ES1035734
BS910393	ES1035357
BS910393	ES1036680
BS910395	ES1035737
BS910395	ES1035359
BS910396	ES1036683
BS910397	ES1036306
BS910397	ES1035739
BS910399	ES1036119
BS910403	ES1035745
BS910403	ES1036690
BS910404	ES1035368
BS910405	ES1036503
BS910406	ES1035937
BS910406	ES1035559
BS910410	ES1036319
BS910410	ES1035752
BS910411	ES1036320
BS910412	ES1035565
BS910412	ES1036699
BS910415	ES1035946
BS910415	ES1035379
BS910416	ES1036514
BS910416	ES1035569
BS910418	ES1035760
BS910420	ES1035951
BS910421	ES1036141
BS910421	ES1036708
BS910423	ES1036143
BS910424	ES1035955
BS910425	ES1035956
BS910425	ES1036334
BS910426	ES1036524
BS910427	ES1035958
BS910427	ES1036147
BS910429	ES1035582
BS910431	ES1036340
BS910432	ES1035774
BS910433	ES1036342
BS910434	ES1035776
BS910437	ES1035779
BS910438	ES1036158
BS910438	ES1035402
BS910439	ES1035403
BS910440	ES1035971
BS910442	ES1035973
BS910442	ES1036729
BS910445	ES1036165
BS910447	ES1035978
BS910449	ES1036169
BS910451	ES1036360
BS910451	ES1036171
BS910451	ES1035604
BS910451	ES1036738
BS910452	ES1036739
BS910453	ES1035606
BS910454	ES1036741
BS910455	ES1036742
BS910459	ES1036179
BS910460	ES1036369
BS910461	ES1036559
BS910461	ES1035614
BS910461	ES1035425
BS910462	ES1035993
BS910462	ES1035804
BS910462	ES1036182
BS910463	ES1036561
BS910463	ES1035427
BS910464	ES1036184
BS910465	ES1035618
BS910466	ES1036564
BS910466	ES1035997
BS910466	ES1036186
BS910467	ES1036565
BS910467	ES1036376
BS910469	ES1035811
BS910469	ES1036756
BS910472	ES1036570
BS910473	ES1036382
BS910473	ES1036004
BS910474	ES1036194
BS910475	ES1036006
BS910476	ES1035629
BS910477	ES1036575
BS910477	ES1035630
BS910481	ES1035445
BS910482	ES1036769
BS910483	ES1036203
BS910484	ES1035637
BS910486	ES1035828
BS910487	ES1035640
BS910489	ES1036587
BS910489	ES1036398
BS910490	ES1036210
BS910491	ES1036589
BS910494	ES1035836
BS910498	ES1036596
BS910501	ES1036410
BS910501	ES1036032
BS910501	ES1036788
BS910503	ES1036790
BS910504	ES1036413
BS910504	ES1036224
BS910505	ES1036414
BS910506	ES1035848
BS910506	ES1035659
BS910510	ES1036797
BS910512	ES1035665
BS910514	ES1035856
BS910517	ES1035859
BS910518	ES1036805
BS910519	ES1035861
BS910519	ES1036239
BS909829	ES1031265
BS909830	ES1031273
BS909830	ES1031270
BS909830	ES1031268
BS909831	ES1062753
BS909831	ES1062752
BS909831	ES1031274
BS909832	ES1031283
BS909832	ES1031280
BS909832	ES1062767
BS909839	ES1062851
BS909840	ES1062854
BS909841	ES1031335
BS909841	ES1031334
BS909842	ES1031344
BS909842	ES1031343
BS909843	ES1060465
BS909844	ES1031355
BS909844	ES1031352
BS909846	ES1031369
BS909846	ES1062806
BS909848	ES1031376
BS909849	ES1031382
BS909850	ES1031390
BS909851	ES1060477
BS909851	ES1062827
BS909852	ES1060479
BS909853	ES1031411
BS909854	ES1031417
BS909854	ES1031416
BS909854	ES1031415
BS909855	ES1031419
BS909855	ES1062843
BS909856	ES1031429
BS909856	ES1031428
BS909857	ES1031430
BS909857	ES1062747
BS909858	ES1062751
BS909859	ES1031444
BS909860	ES1031453
BS909861	ES1031455
BS909861	ES1060495
BS909862	ES1031460
BS909863	ES1031470
BS909867	ES1031495
BS909867	ES1031490
BS909868	ES1062784
BS909868	ES1031500
BS909870	ES1031510
BS909871	ES1060514
BS909871	ES1062797
BS909871	ES1062796
BS909871	ES1031517
BS909871	ES1031516
BS909872	ES1062801
BS909872	ES1031523
BS909873	ES1031526
BS909874	ES1060523
BS909874	ES1062809
BS909874	ES1031535
BS909875	ES1031543
BS909877	ES1062821
BS909877	ES1031554
BS909878	ES1062825
BS909878	ES1031561
BS909878	ES1031559
BS909879	ES1062828
BS909879	ES1031566
BS909882	ES1060540
BS909882	ES1060539
BS909882	ES1031585
