EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES815362	TRT1609
ES815370	TRT1609
ES815374	TRT1609
ES815376	TRT1609
ES815391	TRT1609
ES815394	TRT1609
ES815400	TRT1609
ES815403	TRT1609
ES815404	TRT1609
ES815412	TRT1609
ES815415	TRT1609
ES815423	TRT1609
ES815426	TRT1609
ES815443	TRT1609
ES815458	TRT1609
ES815460	TRT1609
ES815467	TRT1609
ES860653	TRT1755
ES860655	TRT495
ES860663	TRT1753
ES860666	TRT494
ES860678	TRT494
ES860682	TRT1754
ES860694	TRT1754
ES860712	TRT1754
ES860726	TRT494
ES860733	TRT495
ES860735	TRT1753
ES860737	TRT1755
ES860761	TRT1755
ES860762	TRT494
ES860764	TRT492
ES860766	TRT1754
ES860768	TRT494
ES860773	TRT1755
ES860779	TRT1755
ES860790	TRT1754
ES860799	TRT495
ES860807	TRT1753
ES860812	TRT492
ES782608	TRT1336
ES782621	TRT1336
ES782637	TRT1336
ES782647	TRT1336
ES782660	TRT1336
ES782663	TRT1336
ES782670	TRT1336
ES782672	TRT1336
ES782678	TRT1336
ES782683	TRT1336
ES782690	TRT1336
ES782695	TRT1336
ES782700	TRT1336
ES782705	TRT1336
ES782706	TRT1336
ES782707	TRT1336
ES782718	TRT1336
ES782723	TRT1336
ES782728	TRT1336
ES782729	TRT1336
ES782730	TRT1336
ES782733	TRT1336
ES782734	TRT1336
ES782743	TRT1336
ES782757	TRT1336
ES782767	TRT1336
ES782775	TRT1336
ES782781	TRT1336
ES782786	TRT1336
ES782410	TRT1336
ES782414	TRT1336
ES782443	TRT1336
ES782463	TRT1336
ES782464	TRT1336
ES782467	TRT1336
ES782481	TRT1336
ES782484	TRT1336
ES782485	TRT1336
ES782491	TRT1336
ES782493	TRT1336
ES782507	TRT1336
ES782510	TRT1336
ES782548	TRT1336
ES782554	TRT1336
ES782555	TRT1336
ES782557	TRT1336
ES782558	TRT1336
ES782559	TRT1336
ES782561	TRT1336
ES782562	TRT1336
ES782572	TRT1336
ES782576	TRT1336
ES782580	TRT1336
ES782581	TRT1336
ES782586	TRT1336
ES774436	TRT1191
ES774438	TRT1191
ES774442	TRT1191
ES774448	TRT1191
ES774450	TRT1191
ES774453	TRT1191
ES774456	TRT1191
ES774462	TRT1191
ES774476	TRT1191
ES774486	TRT1191
ES774497	TRT1191
ES782794	TRT1336
ES782795	TRT1336
ES782796	TRT1336
ES782797	TRT1336
ES782801	TRT1336
ES782811	TRT1336
ES782822	TRT1336
ES782824	TRT1336
ES782826	TRT1336
ES782830	TRT1336
ES815193	TRT1609
ES815209	TRT1609
ES815216	TRT1609
ES782308	TRT1336
ES782316	TRT1336
ES782331	TRT1336
ES782333	TRT1336
ES782339	TRT1336
ES782340	TRT1336
ES782347	TRT1336
ES782352	TRT1336
ES782356	TRT1336
ES782361	TRT1336
ES782366	TRT1336
ES782375	TRT1336
ES782376	TRT1336
ES860234	TRT494
ES860237	TRT1753
ES860247	TRT495
ES860250	TRT1754
ES860254	TRT492
ES860259	TRT495
ES860261	TRT1753
ES860264	TRT494
ES860281	TRT1755
ES860282	TRT494
ES860289	TRT495
ES860298	TRT1754
ES860302	TRT492
ES860303	TRT1753
ES860308	TRT492
ES860321	TRT1753
ES860324	TRT494
ES860334	TRT1754
ES860338	TRT492
ES860342	TRT494
ES860345	TRT1753
ES860346	TRT1754
ES860352	TRT1754
ES860369	TRT1753
ES860370	TRT1754
ES860831	TRT1753
ES775592	TRT1193
ES775600	TRT1193
ES775601	TRT1193
ES775610	TRT1193
ES775623	TRT1193
ES775629	TRT1193
ES775654	TRT1193
ES775655	TRT1193
ES775671	TRT1193
ES775673	TRT1193
ES775680	TRT1193
ES775685	TRT1193
ES775686	TRT1193
ES775536	TRT1193
ES775544	TRT1193
ES775547	TRT1193
ES775551	TRT1193
ES775566	TRT1193
ES775568	TRT1193
ES775583	TRT1193
ES775589	TRT1193
ES860393	TRT1753
ES860396	TRT494
ES860398	TRT492
ES860406	TRT1754
ES860414	TRT494
ES860418	TRT1754
ES860436	TRT1754
ES860438	TRT494
ES860446	TRT492
ES860447	TRT1753
ES860459	TRT1753
ES860467	TRT1755
ES860472	TRT1754
ES860484	TRT1754
ES860494	TRT492
ES860498	TRT494
ES860506	TRT492
ES860522	TRT494
ES860525	TRT1753
ES860527	TRT1755
ES860537	TRT1753
ES860538	TRT1754
ES860540	TRT494
ES860541	TRT495
ES860551	TRT1755
ES860560	TRT492
ES860567	TRT1753
ES860575	TRT1755
ES860580	TRT1754
ES860597	TRT1753
ES860599	TRT1755
ES860613	TRT495
ES860617	TRT1755
ES860618	TRT494
ES860627	TRT1753
ES860630	TRT494
ES860640	TRT1754
ES815486	TRT1609
ES815489	TRT1609
ES815504	TRT1609
ES815509	TRT1609
ES815536	TRT1609
ES815538	TRT1609
ES815542	TRT1609
ES815551	TRT1609
ES815556	TRT1609
ES815563	TRT1609
ES815565	TRT1609
ES815570	TRT1609
ES815572	TRT1609
ES815574	TRT1609
ES815575	TRT1609
ES815587	TRT1609
ES815589	TRT1609
ES815606	TRT1609
ES815623	TRT1609
ES815627	TRT1609
ES815643	TRT1609
ES815649	TRT1609
ES815654	TRT1609
ES815655	TRT1609
ES815662	TRT1609
ES815238	TRT1609
ES815239	TRT1609
ES815240	TRT1609
ES815244	TRT1609
ES815248	TRT1609
ES815251	TRT1609
ES815270	TRT1609
ES815272	TRT1609
ES815282	TRT1609
ES815291	TRT1609
ES815299	TRT1609
ES815303	TRT1609
ES815308	TRT1609
ES815312	TRT1609
ES815315	TRT1609
ES815318	TRT1609
ES815335	TRT1609
ES815338	TRT1609
ES815344	TRT1609
ES815357	TRT1609
ES815363	TRT1609
ES815364	TRT1609
ES815366	TRT1609
ES815377	TRT1609
ES815392	TRT1609
ES815397	TRT1609
ES815410	TRT1609
