EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES983192	ESR16447
ES983193	ESR16465
ES983193	ESR16461
ES983194	ESR16461
ES983196	ESR16464
ES983197	ESR16459
ES983197	ESR16447
ES983197	ESR16446
ES983197	ESR16444
ES983198	ESR16466
ES983198	ESR16459
ES983199	ESR16465
ES983200	ESR16500
ES983200	ESR16459
ES983200	ESR16458
ES983200	ESR16447
ES983200	ESR16444
ES983201	ESR16500
ES983201	ESR16457
ES983202	ESR16458
ES983202	ESR16445
ES983203	ESR16460
ES983203	ESR16459
ES983204	ESR16465
ES983204	ESR16464
ES983204	ESR16459
ES983204	ESR16458
ES983204	ESR16448
ES983205	ESR16466
ES983205	ESR16459
ES983205	ESR16446
ES983206	ESR16466
ES983206	ESR16448
ES983208	ESR16459
ES983208	ESR16444
ES983208	ESR16500
ES983208	ESR16464
ES983209	ESR16466
ES983210	ESR16466
ES983210	ESR16459
ES983211	ESR16464
ES983211	ESR16463
ES983211	ESR16462
ES983211	ESR16447
ES983212	ESR16459
ES983214	ESR16462
ES983214	ESR16461
ES983214	ESR16457
ES983215	ESR16465
ES983215	ESR16446
ES983216	ESR16461
ES983216	ESR16460
ES983217	ESR16463
ES983217	ESR16457
ES983217	ESR16445
ES983218	ESR16500
ES983218	ESR16460
ES983218	ESR16458
ES983218	ESR16445
ES983219	ESR16461
ES983219	ESR16446
ES983221	ESR16462
ES983221	ESR16461
ES983221	ESR16459
ES983221	ESR16447
ES983222	ESR16457
ES983222	ESR16445
ES983223	ESR16458
ES983224	ESR16458
ES983224	ESR16448
ES983225	ESR16500
ES983225	ESR16447
ES983226	ESR16459
ES983226	ESR16445
ES983226	ESR16500
ES983226	ESR16466
ES983226	ESR16463
ES983228	ESR16448
ES983228	ESR16445
ES983229	ESR16462
ES983229	ESR16457
ES983229	ESR16447
ES983230	ESR16463
ES983232	ESR16461
ES983233	ESR16460
ES983234	ESR16461
ES983234	ESR16444
ES983235	ESR16459
ES983235	ESR16445
ES983236	ESR16500
ES983236	ESR16463
ES983237	ESR16463
ES983237	ESR16461
ES983237	ESR16458
ES983238	ESR16466
ES983238	ESR16461
ES983239	ESR16464
ES983239	ESR16459
ES983239	ESR16458
ES983240	ESR16465
ES983240	ESR16463
ES983240	ESR16446
ES983240	ESR16445
ES983240	ESR16444
ES983241	ESR16463
ES983241	ESR16459
ES983242	ESR16465
ES983242	ESR16448
ES983243	ESR16445
ES983244	ESR16448
ES983244	ESR16466
ES983245	ESR16457
ES983245	ESR16444
ES983246	ESR16465
ES983248	ESR16465
ES983248	ESR16448
ES983248	ESR16444
ES983249	ESR16460
ES983251	ESR16500
ES983251	ESR16457
ES983251	ESR16444
ES983252	ESR16447
ES983252	ESR16444
ES983254	ESR16458
ES983255	ESR16464
ES983255	ESR16463
ES983256	ESR16464
ES983256	ESR16462
ES983256	ESR16461
ES983256	ESR16459
