STANDARD_CURVE_ACCESSION	EXPERIMENT_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
SC6917	EXP13950	533146	MBAA	MBAA
SC6948	EXP13950	533146	MBAA	MBAA
SC6957	EXP13950	533146	MBAA	MBAA
SC6960	EXP13950	533146	MBAA	MBAA
SC6979	EXP13950	533146	MBAA	MBAA
SC6986	EXP13950	533146	MBAA	MBAA
SC6997	EXP13950	533146	MBAA	MBAA
SC7005	EXP13950	533146	MBAA	MBAA
SC7035	EXP13950	533146	MBAA	MBAA
SC7036	EXP13950	533146	MBAA	MBAA
SC7052	EXP13950	533146	MBAA	MBAA
SC7060	EXP13950	533146	MBAA	MBAA
SC7080	EXP13950	533146	MBAA	MBAA
SC7095	EXP13950	533146	MBAA	MBAA
SC7099	EXP13950	533146	MBAA	MBAA
SC7104	EXP13950	533146	MBAA	MBAA
SC7108	EXP13950	533146	MBAA	MBAA
SC7109	EXP13950	533146	MBAA	MBAA
SC7113	EXP13950	533146	MBAA	MBAA
SC7117	EXP13950	533146	MBAA	MBAA
SC7137	EXP13950	533146	MBAA	MBAA
SC7156	EXP13950	533146	MBAA	MBAA
SC7163	EXP13950	533146	MBAA	MBAA
SC7169	EXP13950	533146	MBAA	MBAA
SC7170	EXP13950	533146	MBAA	MBAA
SC7183	EXP13950	533146	MBAA	MBAA
SC7188	EXP13950	533146	MBAA	MBAA
SC7192	EXP13950	533146	MBAA	MBAA
SC7193	EXP13950	533146	MBAA	MBAA
SC6628	EXP13950	533146	MBAA	MBAA
SC6636	EXP13950	533146	MBAA	MBAA
SC6637	EXP13950	533146	MBAA	MBAA
SC6640	EXP13950	533146	MBAA	MBAA
SC6644	EXP13950	533146	MBAA	MBAA
SC6650	EXP13950	533146	MBAA	MBAA
SC6651	EXP13950	533146	MBAA	MBAA
SC6658	EXP13950	533146	MBAA	MBAA
SC6663	EXP13950	533146	MBAA	MBAA
SC6665	EXP13950	533146	MBAA	MBAA
SC6671	EXP13950	533146	MBAA	MBAA
SC6672	EXP13950	533146	MBAA	MBAA
SC6675	EXP13950	533146	MBAA	MBAA
SC6677	EXP13950	533146	MBAA	MBAA
SC6682	EXP13950	533146	MBAA	MBAA
SC6689	EXP13950	533146	MBAA	MBAA
SC6712	EXP13950	533146	MBAA	MBAA
SC6716	EXP13950	533146	MBAA	MBAA
SC6734	EXP13950	533146	MBAA	MBAA
SC6738	EXP13950	533146	MBAA	MBAA
SC6740	EXP13950	533146	MBAA	MBAA
SC6747	EXP13950	533146	MBAA	MBAA
SC6750	EXP13950	533146	MBAA	MBAA
SC6758	EXP13950	533146	MBAA	MBAA
SC6771	EXP13950	533146	MBAA	MBAA
SC6777	EXP13950	533146	MBAA	MBAA
SC6778	EXP13950	533146	MBAA	MBAA
SC6784	EXP13950	533146	MBAA	MBAA
SC6793	EXP13950	533146	MBAA	MBAA
SC6798	EXP13950	533146	MBAA	MBAA
SC6807	EXP13950	533146	MBAA	MBAA
SC6809	EXP13950	533146	MBAA	MBAA
SC6826	EXP13950	533146	MBAA	MBAA
SC6841	EXP13950	533146	MBAA	MBAA
SC6844	EXP13950	533146	MBAA	MBAA
SC6850	EXP13950	533146	MBAA	MBAA
SC6851	EXP13950	533146	MBAA	MBAA
SC6855	EXP13950	533146	MBAA	MBAA
SC6867	EXP13950	533146	MBAA	MBAA
SC6903	EXP13950	533146	MBAA	MBAA
SC6906	EXP13950	533146	MBAA	MBAA
SC6909	EXP13950	533146	MBAA	MBAA
SC6922	EXP13950	533146	MBAA	MBAA
SC6933	EXP13950	533146	MBAA	MBAA
SC6945	EXP13950	533146	MBAA	MBAA
SC6949	EXP13950	533146	MBAA	MBAA
SC6952	EXP13950	533146	MBAA	MBAA
SC6994	EXP13950	533146	MBAA	MBAA
SC7000	EXP13950	533146	MBAA	MBAA
SC7001	EXP13950	533146	MBAA	MBAA
SC7012	EXP13950	533146	MBAA	MBAA
SC7020	EXP13950	533146	MBAA	MBAA
SC7037	EXP13950	533146	MBAA	MBAA
SC7047	EXP13950	533146	MBAA	MBAA
SC7049	EXP13950	533146	MBAA	MBAA
SC7058	EXP13950	533146	MBAA	MBAA
SC7062	EXP13950	533146	MBAA	MBAA
SC7068	EXP13950	533146	MBAA	MBAA
SC7085	EXP13950	533146	MBAA	MBAA
SC7087	EXP13950	533146	MBAA	MBAA
SC7090	EXP13950	533146	MBAA	MBAA
SC7094	EXP13950	533146	MBAA	MBAA
SC7097	EXP13950	533146	MBAA	MBAA
SC7106	EXP13950	533146	MBAA	MBAA
SC7119	EXP13950	533146	MBAA	MBAA
SC7120	EXP13950	533146	MBAA	MBAA
SC7151	EXP13950	533146	MBAA	MBAA
SC7172	EXP13950	533146	MBAA	MBAA
