EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES789195	ESR12350
ES789197	ESR12341
ES789199	ESR12328
ES789200	ESR12342
ES789200	ESR12334
ES789201	ESR12355
ES789201	ESR12354
ES789202	ESR12343
ES789203	ESR12336
ES789204	ESR12342
ES789205	ESR12349
ES789221	ESR12358
ES789221	ESR12342
ES789221	ESR12330
ES789221	ESR12328
ES789222	ESR12359
ES789222	ESR12337
ES789227	ESR12351
ES789227	ESR12344
ES789253	ESR12361
ES789254	ESR12347
ES788921	ESR12360
ES788921	ESR12342
ES788922	ESR12348
ES788922	ESR12347
ES788922	ESR12346
ES788922	ESR12345
ES788923	ESR12349
ES788924	ESR12340
ES788925	ESR12359
ES788925	ESR12338
ES788925	ESR12337
ES788926	ESR12330
ES788927	ESR12352
ES788929	ESR12346
ES788931	ESR12337
ES788932	ESR12335
ES788933	ESR12342
ES788935	ESR12342
ES788938	ESR12336
ES788939	ESR12340
ES788939	ESR12334
ES788940	ESR12329
ES788942	ESR12360
ES788942	ESR12356
ES788942	ESR12341
ES788943	ESR12346
ES788944	ESR12347
ES788944	ESR12344
ES788946	ESR12335
ES788948	ESR12357
ES788949	ESR12360
ES788949	ESR12352
ES788950	ESR12351
ES788950	ESR12344
ES788951	ESR12351
ES788952	ESR12338
ES788952	ESR12334
ES788953	ESR12339
ES788953	ESR12336
ES788953	ESR12335
ES788954	ESR12358
ES788954	ESR12333
ES788954	ESR12330
ES788955	ESR12333
ES788957	ESR12337
ES788958	ESR12356
ES788958	ESR12334
ES788959	ESR12356
ES788959	ESR12355
ES788959	ESR12353
ES788959	ESR12334
ES788960	ESR12341
ES788961	ESR12342
ES788962	ESR12357
ES788962	ESR12356
ES788962	ESR12342
ES788962	ESR12334
ES788963	ESR12349
ES788964	ESR12349
ES788964	ESR12346
ES788964	ESR12344
ES788965	ESR12361
ES788965	ESR12347
ES788966	ESR12361
ES788966	ESR12351
ES788966	ESR12344
ES788966	ESR12343
ES788967	ESR12348
ES788967	ESR12342
ES788968	ESR12346
ES788969	ESR12336
ES788970	ESR12342
ES788971	ESR12342
ES788971	ESR12335
ES788972	ESR12342
ES788972	ESR12339
ES788973	ESR12340
ES788973	ESR12338
ES786708	ESR12333
ES786710	ESR12358
ES786710	ESR12326
ES786711	ESR12357
ES786711	ESR12355
ES786712	ESR12354
ES786713	ESR12360
ES786713	ESR12356
ES786714	ESR12360
ES786716	ESR12337
ES786717	ESR12361
ES786717	ESR12346
ES786718	ESR12361
ES786718	ESR12343
ES786719	ESR12349
ES786720	ESR12349
ES786720	ESR12347
ES786720	ESR12346
ES786721	ESR12348
ES786722	ESR12344
ES786723	ESR12359
ES786723	ESR12340
ES786724	ESR12336
ES786724	ESR12335
ES786725	ESR12334
ES786727	ESR12336
ES786729	ESR12332
ES786730	ESR12342
ES786730	ESR12333
ES786732	ESR12334
ES786734	ESR12356
ES786734	ESR12353
ES786734	ESR12352
ES786735	ESR12350
ES786737	ESR12351
ES786737	ESR12347
ES786738	ESR12345
ES786738	ESR12342
ES786739	ESR12335
ES786739	ESR12334
ES786740	ESR12338
ES786784	ESR12326
ES786785	ESR12326
ES786786	ESR12334
ES786788	ESR12354
ES786789	ESR12360
ES788335	ESR12358
ES788335	ESR12333
ES788336	ESR12333
ES788336	ESR12328
ES788337	ESR12330
ES788338	ESR12360
ES788338	ESR12357
ES788338	ESR12337
ES788338	ESR12334
ES788339	ESR12352
ES788339	ESR12342
ES788339	ESR12334
ES788340	ESR12353
ES788341	ESR12354
ES788341	ESR12342
ES788342	ESR12356
ES788343	ESR12342
ES788344	ESR12353
ES788345	ESR12357
ES788347	ESR12351
ES788347	ESR12347
ES788347	ESR12344
ES788348	ESR12361
ES788348	ESR12350
ES788348	ESR12347
ES788348	ESR12346
ES788349	ESR12346
ES788350	ESR12350
ES788352	ESR12348
ES788352	ESR12342
ES788353	ESR12345
ES788354	ESR12359
ES788355	ESR12339
ES788355	ESR12337
ES788356	ESR12335
ES788357	ESR12359
ES788357	ESR12341
ES788357	ESR12334
ES788358	ESR12342
ES788360	ESR12339
ES788360	ESR12334
ES788361	ESR12336
ES788362	ESR12333
ES788363	ESR12334
ES788363	ESR12326
ES788365	ESR12360
ES788365	ESR12357
ES788365	ESR12337
ES788367	ESR12356
ES788367	ESR12337
ES788368	ESR12355
ES788369	ESR12355
ES788370	ESR12352
ES788370	ESR12334
ES788371	ESR12343
ES788372	ESR12361
ES788372	ESR12348
ES788372	ESR12346
ES788375	ESR12350
ES788375	ESR12346
ES788376	ESR12351
ES788377	ESR12342
ES788378	ESR12339
ES788378	ESR12337
ES788379	ESR12359
ES788380	ESR12342
ES788380	ESR12340
ES788390	ESR12334
ES788390	ESR12330
ES788391	ESR12339
ES788391	ESR12337
ES788392	ESR12360
ES788392	ESR12356
ES788392	ESR12353
ES788392	ESR12337
ES788393	ESR12350
ES788393	ESR12345
ES788394	ESR12359
ES788394	ESR12339
ES788394	ESR12337
ES788395	ESR12356
ES788395	ESR12352
ES788397	ESR12334
ES788400	ESR12361
ES788401	ESR12340
ES788401	ESR12338
ES788403	ESR12361
ES788404	ESR12333
ES788404	ESR12331
ES788404	ESR12329
ES788405	ESR12338
ES788405	ESR12334
ES788406	ESR12334
ES788407	ESR12347
ES788408	ESR12341
ES788408	ESR12340
ES788409	ESR12360
ES788409	ESR12337
ES788410	ESR12343
ES788412	ESR12341
ES788412	ESR12338
ES788412	ESR12336
ES788413	ESR12354
ES788414	ESR12343
ES788415	ESR12340
ES788417	ESR12350
ES788417	ESR12348
ES788418	ESR12329
ES788419	ESR12327
ES788420	ESR12327
ES788422	ESR12360
ES788423	ESR12353
ES788423	ESR12352
ES788424	ESR12356
ES788424	ESR12342
ES788425	ESR12357
ES788425	ESR12353
ES788427	ESR12351
ES788427	ESR12346
ES788427	ESR12343
ES788428	ESR12350
ES788430	ESR12345
ES788431	ESR12342
ES788432	ESR12350
ES788433	ESR12359
ES788433	ESR12341
ES788436	ESR12342
ES788437	ESR12359
ES788437	ESR12339
ES788438	ESR12339
ES788438	ESR12338
ES788439	ESR12358
ES788439	ESR12331
ES788440	ESR12355
ES788441	ESR12334
ES788442	ESR12351
ES788442	ESR12345
ES788443	ESR12351
ES788443	ESR12349
ES788444	ESR12338
ES788444	ESR12337
ES788445	ESR12342
ES788446	ESR12330
ES788447	ESR12341
ES788448	ESR12360
ES788448	ESR12352
ES788448	ESR12342
ES788449	ESR12361
ES788449	ESR12349
ES788449	ESR12343
ES788449	ESR12342
