FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
1140538	CD8+	CD8+	ANA810	557426
1140545	CD14lo	CD14lo	ANA804	557429
1140550	CD16+	CD16+	ANA811	557430
1140558	HLADR+	HLA-DR+	ANA812	557433
1140573	CD14+	CD14+	ANA804	557437
1140604	B7-2+	CD86+	ANA868	557445
1140610	HLADR+	HLA-DR+	ANA812	557447
1140615	CD16-	CD16-	ANA811	557448
1140621	CD14+	CD14+	ANA804	557450
1140623	CD16+	CD16+	ANA811	557450
1140630	HLADR+	HLA-DR+	ANA812	557452
1140631	CD16-	CD16-	ANA811	557452
1140632	SLAN-	SLAN-	ANA906	557452
1140649	SLAN+	SLAN+	ANA906	557457
1140650	granulocyte	granulocyte		557458
1140653	CD16+	CD16+	ANA811	557461
1140655	CD19+	CD19+	ANA805	557462
1140656	CD3-	CD3-	ANA809	557462
1140658	CD19+	CD19+	ANA805	557463
1140669	CD27+	CD27+	ANA40	557465
1140679	CD14-	CD14-	ANA804	557467
1140682	CD19+	CD19+	ANA805	557468
1140694	CD3-	CD3-	ANA809	557470
1140704	CD19+	CD19+	ANA805	557472
1140716	CD14-	CD14-	ANA804	557474
1140727	CD19+	CD19+	ANA805	557477
1140728	CD3-	CD3-	ANA809	557477
1140739	CD19+	CD19+	ANA805	557479
1140741	CD14-	CD14-	ANA804	557479
1140743	IgD-	IgD-	ANA813	557479
1140748	CD27-	CD27-	ANA40	557480
1140753	CD14-	CD14-	ANA804	557481
1140758	CD14-	CD14-	ANA804	557482
1140760	B7-2+	CD86+	ANA868	557482
1140762	HLADR+	HLA-DR+	ANA812	557483
1140769	CD2-	CD2-	ANA860	557484
1140788	CD11c-	CD11c-	ANA814	557488
1140800	HLADR+	HLA-DR+	ANA812	557491
1140808	CD2+	CD2+	ANA860	557492
1140821	BDCA2, CD303-	BDCA2-	ANA870	557495
1140826	BDCA2, CD303-	BDCA2-	ANA870	557496
1140834	BDCA1+	CD1c+	ANA895	557497
1140837	BDCA2, CD303-	BDCA2-	ANA870	557498
1140840	BDCA1+	CD1c+	ANA895	557498
1140841	CD2-	CD2-	ANA860	557498
1140860	BDCA3-	BDCA3-	ANA894	557501
1140862	CD40-	CD40-	ANA42	557501
1140868	BDCA1+	CD1c+	ANA895	557502
1140874	BDCA3-	BDCA3-	ANA894	557503
1140878	HLADR+	HLA-DR+	ANA812	557504
1140880	CD11c+	CD11c+	ANA814	557504
1140881	BDCA3+	BDCA3+	ANA894	557504
1140897		Lin1-		557507
1140908	BDCA3+	BDCA3+	ANA894	557508
1140911		Lin1-		557509
1140918		Lin1-		557510
1140929	CD278+	ICOS+	ANA898	557513
1140933	CD3+	CD3+	ANA809	557515
1140938	CD4+	CD4+	ANA41	557516
1140952	CD3+	CD3+	ANA809	557519
1140954	CD8-	CD8-	ANA810	557519
1140957	CD278+	ICOS+	ANA898	557519
1140958	CD3+	CD3+	ANA809	557520
1140966	CD4+	CD4+	ANA41	557521
1140967	CD8-	CD8-	ANA810	557521
1140976	CXCR5+	CXCR5+	ANA78	557522
1140987	CCR6+	CCR6+	ANA36	557523
1140989	CD4+	CD4+	ANA41	557524
1141001	CXCR3+	CXCR3+	ANA76	557525
1141010	CCR6+	CCR6+	ANA36	557526
1141040	CCR6-	CCR6-	ANA36	557530
1141045	CXCR5+	CXCR5+	ANA78	557531
1141059	CD45RA-	CD45RA-	ANA816	557533
1141060	HLADR+	HLA-DR+	ANA812	557533
1141074	CD3+	CD3+	ANA809	557536
1141076	CD8-	CD8-	ANA810	557536
1141077	CXCR5-	CXCR5-	ANA78	557536
1141080	CCR6-	CCR6-	ANA36	557536
1141098	CD4+	CD4+	ANA41	557539
1141119	CCR6+	CCR6+	ANA36	557541
1141121	CD4+	CD4+	ANA41	557542
1141134	CCR6+	CCR6+	ANA36	557543
