RESULT_ID	ANALYTE_PREFERRED	ANALYTE_REPORTED	ARM_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	BIOSAMPLE_ACCESSION	COMMENTS	CONCENTRATION_UNIT_REPORTED	CONCENTRATION_UNIT_PREFERRED	CONCENTRATION_VALUE_REPORTED	CONCENTRATION_VALUE_PREFERRED	EXPERIMENT_ACCESSION	MFI	MFI_COORDINATE	REPOSITORY_ACCESSION	REPOSITORY_NAME	SOURCE_ACCESSION	SOURCE_TYPE	STUDY_ACCESSION	STUDY_TIME_COLLECTED	STUDY_TIME_COLLECTED_UNIT	SUBJECT_ACCESSION	WORKSPACE_ID
258271	ANA130	IL15		194				pg/ml	pg/ml	0	0	EXP13808	32				CS958	CONTROL SAMPLE	SDY202				2883
258272	ANA801	IL17		194				pg/ml	pg/ml	3	3	EXP13808	89				CS958	CONTROL SAMPLE	SDY202				2883
258273	ANA137	IL17F		194				pg/ml	pg/ml	14	14	EXP13808	206				CS958	CONTROL SAMPLE	SDY202				2883
258274	ANA142	IL1A		194				pg/ml	pg/ml	0	0	EXP13808	29				CS958	CONTROL SAMPLE	SDY202				2883
258275	ANA143	IL1B		194				pg/ml	pg/ml	2	2	EXP13808	110				CS958	CONTROL SAMPLE	SDY202				2883
258276	ANA145	IL1RA		194				pg/ml	pg/ml	1	1	EXP13808	19				CS958	CONTROL SAMPLE	SDY202				2883
258277	ANA148	IL2		194				pg/ml	pg/ml	30	30	EXP13808	140				CS958	CONTROL SAMPLE	SDY202				2883
258278	ANA174	IL4		194				pg/ml	pg/ml	5	5	EXP13808	108				CS958	CONTROL SAMPLE	SDY202				2883
258279	ANA176	IL5		194				pg/ml	pg/ml	28	28	EXP13808	132				CS958	CONTROL SAMPLE	SDY202				2883
258280	ANA178	IL6		194				pg/ml	pg/ml	1	1	EXP13808	28				CS958	CONTROL SAMPLE	SDY202				2883
258281	ANA181	IL7		194				pg/ml	pg/ml	51	51	EXP13808	231				CS958	CONTROL SAMPLE	SDY202				2883
